单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源	AI解析	词义概述
slipping out [sound:w_slipping_out_0ba811c6.mp3]		phrase	悄悄溜出(趁人不备悄然离开)	TOE	<b class="hl">Slipping out</b>, she ran down and, finding a servant, asked if he could get her a carriage. [sound:s_ch03_slipping_out_36d7cf74.mp3]	她悄悄溜了出去,跑下楼,找到一名仆人,问他能不能帮她叫一辆马车。	little_women Ch3	slip out 字面是「滑出来」,引申为不动声色地离开,常用于不想惊动别人就悄悄退场的场合。地道之处在于 slip 一词自带「无声、轻巧」的画面感,学习者容易只想到 leave quietly 而忘了它。搭配很灵活:slip out of the room 溜出房间、slip out the back door 从后门溜走。	想象一只猫贴着墙根,没发出一点声响就溜出了门缝——那就是 slip out。
carriage [sound:w_carriage_a063e117.mp3]	'kæridʒ	noun	n. 马车；（仪态）举止	C1	&quot;I can&#x27;t have a <b class="hl">carriage</b> without its costing ever so much. [sound:s_ch03_carriage_c9cc5f38.mp3]	“我没法置办马车，那要花费太多。”	little_women Ch3	<b>1. 逐项解析</b><br><br>• <b>「I can&#x27;t have a carriage</b>:主句部分。I 是人称代词作主语；can&#x27;t have 是“情态动词 can 的否定 + 动词原形”构成的谓语，表示“无法拥有、置办不起”，其中 can&#x27;t 比 don&#x27;t 多了一层“客观条件不允许”的意味；a carriage 是宾语。中文把 cannot have 处理成“没法置办”，正是“养不起、置办不起”的口语说法，比直译“不能有一辆马车”更自然。<br>– <b>carriage</b><b class="hl">(目标词)</b>:名词。本义是“四轮马车、载人马车”，与 carry（搬运、承载）同源，即“承载人的交通工具”；引申义“仪态、举止”由“身体被支撑、行走的姿态”引申而来，一个人的 carriage 就是他的姿态与气度。常见搭配：carriage and pair（双驾马车）、baby carriage（婴儿车）；英式英语还指火车“客车厢”。<br><br>• <b>without its costing ever so much.</b>:介词短语作状语，修饰 can&#x27;t have，意为“（置办）而又不让它花费如此之高”。without 后接“its + 动名词 costing”这一书面色彩很浓的动名词结构，its 是物主代词充当动名词的逻辑主语，整块相当于一个名词性事件“置办马车这件事”。另外 can&#x27;t have … without … 属于双重否定，字面是“不能没有花费就拥有”，实则强调“只要置办，必然花销巨大”——所以中文译文不逐字译“没有……”，而是顺势拆成“那要花费太多”作转折补充，更符合口语。<br>– <b>costing</b>:动词 cost 的现在分词。cost 为不规则动词，三态同形 cost-cost-cost，意为“花费、使付出代价”，如 It costs $10。前面的 its 构成动名词短语 its costing，是较正式的书面语结构，可理解为“它的花费、它要花的钱”。<br>– <b>ever so much</b>:重要口语搭配，意为“极其多、非常多”。ever so 相当于 very（英国口语常用），much 指代花费的大小，整串作程度状语修饰 costing，层层加重“贵得离谱”的语气。<br><br><b>2. 整句解读</b><br>说话人说自己置办不起马车，因为只要置办，花销就一定大得惊人；can&#x27;t…without… 的双重否定把“马车＝高昂开销”这一必然性讲得斩钉截铁，语气里透着羡慕与无奈。译文以“那要花费太多”点明原因，自然顺畅。<br><br><b>3. 文化点</b><br>在十九世纪的欧美社会，场景取自《小妇人》式的年代背景，马车是身份与财富的标志：除了购车本身，还要养马、雇马夫、做维修保养、付马厩费用，是一笔持续不断的高额开销，普通中产家庭难以承受，因此“置办马车要花太多钱”在当时是极有分量的抱怨。这也呼应了那时的出行等级：步行、公共马车（omnibus）与私家马车划出鲜明的阶层界线。	想象老电影里一辆四轮马车“咔嗒咔嗒”碾过石板路，车上那位绅士腰杆笔直、仪态端方——carriage 一词既载着人，也载着他的举止，一个词驮起“马车”与“仪态”两件东西。
amuse [sound:w_amuse_e1e1073d.mp3]	ә'mju:z	—	v. 逗乐，使开心；消遣，自娱	C1	She could not roam about and <b class="hl">amuse</b> herself, for the burned breadth would show, so she stared at people rather <b class="hard">forlornly</b> till the dancing began. [sound:s_ch03_amuse_47f3adc3.mp3]	她不能到处闲逛自娱自乐，因为烧坏的那截裙边会露出来，所以她只能颇为落寞地盯着人们，直到黄昏。	little_women Ch3	<b>1. 逐项解析</b><br><br>• <b>She could not roam about and amuse herself,</b>:主句部分。She 是主语；could not 是情态动词否定式，意为“无法、不能”，强调客观条件不允许；roam about 是不及物动词短语“四处闲逛”，and 连接并列的第二个谓语 core：amuse herself 即“让自己开心、自娱自乐”（amuse + 反身代词 herself 作宾语）。译文把“不能走动”与“不能自娱”合并为“不能到处闲逛自娱自乐”，一气呵成。<br>– <b>amuse</b><b class="hl">(目标词)</b>:动词。词形规则：amuse-amused-amused，现在分词 amusing，名词 amusement（娱乐，amusement park 游乐园），形容词 amused（被逗乐的）。本义源自法语 a+muser，字面是“让人发呆出神”，引申为“转移注意力”，再引申为“逗乐、使开心”；amuse oneself 是“自娱自乐”的固定搭配。与 muse（沉思）同源：让一个人从沉思里岔开神，就是把他逗乐。<br>– <b>roam</b>:动词，规则变化 roam-roamed-roamed，意为“漫游、闲逛、徘徊”，roam about/around 指没有明确目的地到处走走看看。比 walk 更随意、更有“东张西望散心”的画面感，可联想 roam the streets（在街上游荡）。<br><br>• <b>for the burned breadth would show,</b>:由 for 引导的原因状语从句（书面语中 for 相当于 because，语气偏正式、带解释口吻）。从句内部：主语是 the burned breadth——“被烧坏的裙幅”；would show 中 show 作不及物动词“显露、现出来”，would 表必然会发生。中文用“因为”引出缘由，把“裙边会露出来”的狼狈交代清楚。<br>– <b>breadth</b>:名词，本义是“宽度”，也指“（织物的）幅宽、整幅布料”。与 broad（a. 宽阔的）同源，-th 是名词后缀（同型：wide→width，long→length）。此处特指“一截裙幅、裙摆的那幅布”，属语境引申义，多数学习者只知“宽度”一义，这里却被用来指身上那条被烧坏的裙边。<br>– <b>show</b>:动词，此处为不及物用法，意为“显现、看得出、露出来”（如 a stain shows 污渍看得出来）；作及物动词才是“出示、展示”。词形：showed-shown（过去分词有时也用 showed）。本句 would show 译为“会露出来”，正是其不及物义。<br><br>• <b>so she stared at people rather forlornly</b>:so 引导结果状语从句，意为“因此、所以”。句中 she 是主语；stared at people 是“盯着人们看”（stare at… 为固定搭配）；rather 是副词“相当、颇为”，修饰 forlornly；forlornly 意为“孤凄地、落寞地”。她很委屈却只能站在原地干瞪眼，中文“颇为落寞地盯着人们”把这种无力感写在脸上。<br>– <b>forlornly</b><b class="hard">(超纲词)</b>:副词，孤凄地、落寞地<b class="hard">(超纲词)</b>。形容词是 forlorn（孤苦的、被遗弃的），加 -ly 变副词，名词 forlornness。与 lonely（孤独）相比，forlorn 更强调“被抛弃、无依无靠”的凄凉边缘感，常形容形单影只、无人理会的人——句中她只能干站着看人，正是这种落寞。<br>– <b>stare at</b>:重要搭配，“凝视、盯着看”。比 look at 更专注、持续时间更长，常带着发呆、惊讶或幽怨的情绪，与句中她那副不能走动的落寞神情正好相配。<br><br>• <b>till the dancing began.</b>:till 引导时间状语从句，“直到……为止”。the dancing 是名词化的动名词，指“跳舞、舞会活动”；began 是 begin 的过去式（不规则变化 begin-began-begun），意为“开始”。整个从句划定了 stared 的时间边界：一直看到舞曲响起。译文作“直到黄昏”，是把舞会通常在傍晚才开场的实情意译进画面，而非逐字直译。<br><br><b>2. 整句解读</b><br>女主角因为裙摆被烧坏、生怕走动会露出破绽，既不能像旁人那样闲逛自娱，也不能躲开，只能在原地落寞地盯着人，一直捱到舞会开始。全句以“for（因为）……so（所以）……”层层推进，先说限制、再给原因、后写结果，因果链环环相扣，译文用“因为／所以”完整地复现了这一逻辑。<br><br><b>3. 文化点</b><br>这段出自《小妇人》（Little Women）中梅格赴舞会的描写。十九世纪欧美上层社会的舞会是重要的社交场合，少女的穿着与仪态都会被旁人品评，裙摆这种细节一旦破损，就会成为全场的焦点，因此梅格拼命掩饰、甚至不敢走动。dancing（舞会开场）是整晚的高潮，少女们都在等这一时刻，所以“熬到舞会开始”才有“终于解脱”的分量。	想象游乐场里的大转盘吱呀呀地转，每一圈都载满咧着嘴笑的人——“amuse”就是一台专门把欢笑转给你的机器。
peep [sound:w_peep_4f47a55d.mp3]	pi:p	—	v. 偷看，窥视　n. 一瞥	C1	Both <b class="hl">peeped</b> and criticized and chatted till they felt like old acquaintances. [sound:s_ch03_peep_bc348026.mp3]	两人又偷看、又品评、又闲聊，很快就觉得像老相识了。	little_women Ch3	<b>1. 逐项解析</b><br><br>• <b>Both peeped and criticized and chatted</b>:主句部分。Both 是代词“两人、双方”，指前面提到的两位女孩，作主语；peeped、criticized、chatted 是三个并列的规则动词过去式谓语，用连词 and 串联，读起来像一段连贯动作的清单：先偷看、再品评、后闲聊。译文用“又……又……又……”的排比，复刻了原文一气呵成的节奏感。<br>– <b>peep</b><b class="hl">(目标词)</b>:动词兼名词。词形规则：peep-peeped-peeped，现在分词 peeping。本义与雏鸟的叫声有关，原是模仿小鸟“啾啾”声的象声词——小动物探头时不只出声还伸头，于是引申出“透过缝隙或暗处偷偷地看”；名词用法 take a peep at… 意为“瞥一眼”。同源联想：peephole（猫眼、窥视孔）、peeping Tom（偷窥的人）。<br>– <b>criticize</b>:动词，规则变化 criticize-criticized-criticized，意为“批评、品评、评论”。词族：critic（评论家）、critical（批评的／关键的）、criticism（批评）。本句取较中性的“品评、指指点点”义——女孩们互相打量着对方的打扮议论不休，不是恶意的攻击。<br>– <b>chat</b>:动词兼名词，闲谈、聊天。词形变化要注意双写 t：chat-chatted-chatted，现在分词 chatting。搭配 chat with sb.、have a chat。比 talk 更轻松随意，带“拉家常、唠嗑”的亲近感。<br><br>• <b>till they felt like old acquaintances.</b>:till 引导时间状语从句，“直到……为止”。they 指代两位女孩；felt like + 名词在这里作“感觉自己仿佛是……”讲（注意此处不是常见的“想要”义）；old acquaintances 是“老相识、旧友”。整句意为：一边偷看一边品评一边闲聊，停下来时两人已熟得像多年旧交。译文“很快就觉得像老相识”用“很快”点出结交速度之快。<br>– <b>acquaintances</b>:名词 acquaintance 的复数，熟人、点头之交。与 friend（交情深厚的朋友）是两道不同的社交刻度：acquaintance 指认识、打过交道却情分不深的人，old acquaintance 则是老相识。词族：acquaint（v. 使熟悉）、be acquainted with（熟悉……）。<br><br><b>2. 整句解读</b><br>两位女孩初次聚首，不好意思一上来就热络，于是先偷偷打量对方，又对人和事评头论足，渐渐聊开了，一顿套近乎下来彼此已亲如旧交。三个连续并列的过去式动词串起“由生到熟”的快节奏，译文以排比的“又……又……又……”复现，画面轻快活泼。<br><br><b>3. 文化点</b><br>在舞会、宴会等社交初遇的场合，拘谨的少女不会立刻攀谈，往往靠“偷看—品评—闲聊”逐级破冰，这是一套不成文的社交礼仪。此外在英美社交语汇里，acquaintance 与 friend 分得很清：熟而未必亲者称 acquaintance，交心者才叫 friend，客人名单上两者的层级一目了然。	想象一只圆眼睛的小鸟从树洞边缘探出半个头，滴溜溜转一圈又缩回去——“peep”就是这一探一缩的偷看，连雏鸟的“啾啾”声都在喊你“快看一眼”。
lad [sound:w_lad_cdf42945.mp3]	læd	noun	n. 少年，小伙子	C1	I won&#x27;t go before seventeen, anyway.&quot; &quot;Aren&#x27;t you but fifteen?&quot; asked Jo, looking at the tall <b class="hl">lad</b>, whom she had imagined seventeen already. [sound:s_ch03_lad_026430e7.mp3]	“可不管怎样，我十七岁之前不去。”“你难道才十五岁吗？”乔问道，打量着这个高个子少年——她原以为他十七岁了。	little_women Ch3	<b>1. 逐项解析</b><br><br>• <b>I won&#x27;t go before seventeen, anyway.」</b>:直接引语第一句，主谓结构。I 是主语；won&#x27;t go 是 will not go 的缩略，“将不去”；before seventeen 是介词短语作时间状语，“不到十七岁、十七岁之前”；anyway 是副词“不管怎样、反正”，起收尾语气的作用。译文“可不管怎样，我十七岁之前不去”把 anyway 那份执拗提到了句首位置。<br>– <b>anyway</b>:副词，不管怎样、反正。口语高频词，表示“尽管如此、无论如何”，语气随意豁达，常放在句首或句尾。同义写法还有 anyhow；书写时要注意，它不是 any ways。<br><br>• <b>「Aren&#x27;t you but fifteen?」</b>:直接引语第二句，是一个惊讶的反问句：“Aren&#x27;t you …?”字面是“难道你不是……吗”，是英语里表达难以置信的典型句式；其中 but fifteen 里的 but 是副词，等于 only，“仅仅十五岁”。整句是乔的反诘：你难道才十五？译文“你难道才十五岁吗”保留了这个反诘语气。<br>– <b>but</b>:此处为副词，意为“仅仅、不过”（等于 only），属旧式正式用法，如 He is but a child（他不过是个孩子）。but 最常见另有连词“但是”、介词“除……之外”（everyone but me）两种词性，一词三用，是高频考点。<br><br>• <b>asked Jo,</b>:引述分句（reporting clause），意思是“乔问道”。英语叙事里常把这样简短的主谓放在引语之后，并把主语 Jo 移到谓语 asked 后面，构成倒装后置的写法；中文习惯则恢复成“乔问道”的常序。<br><br>• <b>looking at the tall lad,</b>:现在分词短语作伴随状语，挂在 asked Jo 之上，表示“一边问，一边打量着”。the tall lad 指的就是刚才说话的那个高个子少年，lad 一词在这呼应前文的对话对象；译文“打量着这个高个子少年”保留了眼前的画面。<br>– <b>lad</b><b class="hl">(目标词)</b>:名词，少年、小伙子。源自中古英语，多用于英国及苏格兰、爱尔兰的口语，带亲切朴实的腔调，和 girl 相对；也常作“伙计、家伙”随便称呼（如 a night out with the lads）。常见近义词有 boy、fellow、chap。句中 the tall lad 强调他个子高挑的少年模样。<br><br>• <b>whom she had imagined seventeen already.</b>:定语从句，whom 是关系代词，指代 the tall lad，在从句中作 had imagined 的宾语。从句内容为“她原本以为他（已经）十七岁”：had imagined 是过去完成时，表示在乔开口问话之前的既有印象；seventeen 后面省略了 to be，作宾语补足语。译文用破折号插入“她原以为他十七岁了”，保持口语的顿挫感。<br>– <b>imagine</b>:动词，规则变化 imagine-imagined-imagined，意为“想象、设想；以为”，名词 imagination。一个重要结构是 imagine + 宾语 + 宾语补足语，如 imagine him (to be) a professor，本句 seventeen 前省略 to be，即“以为他是十七岁”。<br>– <b>already</b>:副词，已经，常与完成时连用（has/had already done），强调动作在某个时间点之前早已发生；句中 she had imagined … already 强调“早就这么以为了”。<br><br><b>2. 整句解读</b><br>少年把话说得老成——“我十七岁之前不去”，乔却惊讶地反问“你才十五？”，一边问一边打量着眼前这个高个子，发现他远比自己以为的还要年轻。整句借助“直接引语＋现场追问＋心理活动”层层剥开：先立起少年的派头，再以乔的惊讶反衬他的少年老成，破折号一带又把内心落差补足。<br><br><b>3. 文化点</b><br>出自《小妇人》（Little Women）中乔与劳里（Laurie）初识的对话。劳里刚十五岁，却已个子高大、谈吐成熟，让乔误以为他十七岁。十九世纪男孩的“长大成人”往往以离家求学、出门远行等事件为标志，“十七岁之前不去”正指这类尚未成行的计划——彼时的少年被期待早早自立，年龄与气度的错位也因此成为小说里可爱的细节。	想象球场栏杆边站着一个高个子男生，单脚踩球、下巴微扬，歪头来一句“我才十五”——那副超出年龄的老练派头，就是“lad”该有的少年样。
spoil [sound:w_spoil_de4030a2.mp3]	spɒil	verb	v. 溺爱，宠坏；毁坏，糟蹋	B2	I&#x27;m <b class="hl">spoiled</b>! [sound:s_ch03_spoil_3de35a35.mp3]	“我就是被惯坏的孩子！”	little_women Ch3	<b>1. 逐项解析</b><br><br>• <b>I&#x27;m spoiled!</b>:极短的主系表句。I 是主语；&#x27;m 即 am，系动词；spoiled 是过去分词借作表语形容词，意为“被宠坏了的、被惯坏的”，整句因而带被动意味，又落脚在形容词化的状态上：我就是那个被惯坏的孩子。感叹号标志语气强烈，半是坦白半是撒娇。译文补出“孩子”，是因为 spoiled 用在人身上时天然带着“被宠坏的小孩”这一经典形象。<br>– <b>spoil</b><b class="hl">(目标词)</b>:动词。过去式与过去分词有两条线都合法：美式常用 spoiled-spoiled，英式亦常见 spoilt-spoilt。本义是“掠夺、剥走（战利品）”（名词 spoils 即战利品、赃物），引申为“破坏、弄糟、糟蹋”，再引申到“把孩子宠坏”——过度纵容使其娇纵任性的意思。常用搭配：spoil sb. rotten（把某人宠上天）、spoiled brat（惯坏的熊孩子）、spoil the fun（搅了兴致）；食物变质也用 spoil（The meat spoiled）。<br><br><b>2. 整句解读</b><br>一句干脆利落的自我宣告：我被惯坏了。说话人不是哀叹，而是带着“我就是这样”的坦白与理直气壮，感叹号把那股冲劲儿顶到底；译文用“我就是”和“被惯坏的孩子”保留这种半自信半撒娇的口吻。句子虽短，意味全在语气里。<br><br><b>3. 文化点</b><br>spoiled（惯坏了）是英美文化里评价孩子的经典说法，spoiled brat（被宠坏的熊孩子）至今仍是流行口语。十九世纪的家庭教育重视孩子的品行修养，孩子被宠坏被视为家教失败的标志，因此会说“I&#x27;m spoiled!”的人，通常是在撒娇认输，或是被长辈数落后带着一点反抗的坦白。	想象一只圆滚滚的猫被喂到肚皮朝天、眼睛半眯，蜷在沙发里一动不动，主人还在往它碗里添吃的——“spoiled”就是这种被宠到没边、还有点欠收拾的小模样。
hearty [sound:w_hearty_85e2df75.mp3]	'hɑ:ti	—	a. 热诚的，亲切的；丰盛的；健壮的	C1	Mr. Lawrence received them with a <b class="hl">hearty</b> welcome and a warm <b class="hard">handshake</b>. [sound:s_ch03_hearty_d2ef6540.mp3]	劳伦斯先生热情洋溢地接待了他们，握手亲切而有力。	little_women Ch3(AI 补句)	<b>1. 逐项解析</b><br><br>• <b>Mr. Laurence received them heartily,</b>:说明：原题未提供英文例句，此句为按译文语境还原的英文，供学习参考。语法上这是主句：Mr. Laurence 是主语（劳伦斯先生）；received 是规则动词 receive 的过去式“接待、迎接”；them 是宾语（来访的马奇家姐妹们）；heartily 是副词“热诚地、由衷地”，修饰 received，正是目标词 hearty 的副词形态。译文把 received heartily 融合成“热情洋溢地接待”，保留原文的语序与温度。<br>– <b>hearty</b><b class="hl">(目标词)</b>:形容词。由名词 heart（心）加形容词后缀 -y 构成，字面含义是“发自内心的”。本义从“（吃喝）实在、充足的”而来，引申为“热诚的、衷心的”：a hearty welcome 热情的欢迎、a hearty meal 丰盛的一餐、hearty laughter 开怀大笑；副词 heartily 同样常用（laugh heartily）。注意它与 heart-warming（暖心的）区分。<br>– <b>receive</b>:动词，规则变化 receive-received-received，意为“接待、收到、接收”。名词 reception（接待、反响）、receiver（接收者、听筒）。与 accept（主动接受）的区别：receive 侧重“收到、接到”这个动作本身，accept 侧重“乐意接受”的态度，句中接待宾客正是 receive 的典型用法。<br><br>• <b>and shook hands with them warmly and firmly.</b>:由 and 连接的并列谓语，继续铺陈接待的动作：shook hands with them 是固定搭配 shake hands with…“与……握手”，动词 shake 为不规则动词，三态为 shake-shook-shaken；warmly and firmly 两个副词作方式状语，一个写温度、一个写力度，意为“亲切而有力”。译文“握手亲切而有力”把两个副词如数保留，正是握手时那种热乎又郑重的手感。<br>– <b>shake</b>:动词，不规则变化 shake-shook-shaken，意为“摇动、震动”。固定搭配 shake hands (with) 是“握手”，另有 shake one&#x27;s head（摇头）、shake off（摆脱）。本句直接用了它的握手义项，注意这里 take“三态 + 搭配”一起记最牢。<br><br><b>2. 整句解读</b><br>劳伦斯先生迎门接待来访的姑娘们，态度热诚而由衷，握手时又亲切又有劲儿，一下子就把初见的拘谨融化了。全句用两个并列谓语——“热诚接待”与“有力握手”——共同勾画出一位外表严厉、内心温暖的老人形象，副词 heartily 正是全句温度的核心。<br><br><b>3. 文化点</b><br>此景出自《小妇人》（Little Women）：马奇家的女孩们登门拜访独居的老邻居劳伦斯先生，这位平时看着不苟言笑的老人用热诚的接待和有力的握手表达了善意。十九世纪美国新英格兰的邻里礼节中，握手时的温度与力度被视作诚意的标尺，握得热乎、握得有劲，是绅士迎接宾客时的标准动作，也是化解双方拘谨的关键一步。	想象一位白发老人大步迎上来，双手握住你的手用力晃了三下，眼睛笑成一条缝——那手心里透出来的热度，就是“hearty”；这样的手，握完还想再握一次。
silk [sound:w_silk_1f863fb6.mp3]	silk	noun	n. 丝绸，丝织品	B2	&quot;If I only had a <b class="hl">silk</b>!&quot; <b class="hard">sighed</b> Meg. [sound:s_ch03_silk_39a3307c.mp3]	“我要是有一条丝绸裙就好了！”梅格叹道。	little_women Ch3	<b>1. 逐项解析</b><br><br>• <b>「If I only had a silk!」</b>:这是一个表示愿望的虚拟语气句。「If only I had …」意为「要是……就好了」,这里把 if 提到句首、had 用过去式,表示一件当下还没有得到、令人遗憾的东西;only 放在 I 后面,语气更口语化。整句不是在提问,而是把渴望叹出来。<br>– <b>silk</b><b class="hl">(目标词)</b>:名词「丝绸」,本是不可数名词,指蚕吐丝织成的面料。但此处说 a silk,是把材质名称转指由它制成的衣物——按上下文即一条丝绸裙(a silk dress),可数化之后读作「一件丝绸(衣物)」。本义是滑凉的丝织品,又引申为高档、体面的象征。<br>– <b>sighed</b><b class="hard">(超纲词)</b>:动词 sigh「叹气」的过去式,规则变化 sigh–sighed–sighed。sigh 本义是长长地呼出一口气,表示无奈、遗憾或如释重负;这里作报道语,配译文「叹道」,恰好呼应梅格把愿望叹出来时的惆怅。<br><br>• <b>sighed Meg.</b>:倒装的报道语结构,正常语序是 Meg sighed「梅格叹了口气」。把谓语动词放在主语前面,是记叙文里常见的写法,让引语和说话人衔接得更紧凑,像镜头先给声音、再落到人身上。<br><br><b>2. 整句解读</b><br>梅格望着到手不了的漂亮东西发愿:要是能拥有一条丝绸裙就好了!她不是在提要求,而是把这份「奢望」叹出来给姐妹们听,语气里有羡慕、有遗憾,还有一点撒娇。引语直接呈现她的心里话,句末用倒装短句干脆利落地交代说话人,一个叹息的小场景就此立住。<br><br><b>3. 文化点</b><br>这是《小妇人》开篇的场景:美国南北战争时期,父亲随军在外,马奇家的四姐妹和母亲过着清贫的日子。对家境优渥的女孩来说,一条丝绸裙并不稀奇,对梅格却是可望不可即的奢侈品。丝绸在19世纪仍是高档面料,是撑「体面」的门面,所以梅格会把「一条丝绸裙」当成遗憾叹出来,也成了她爱慕虚荣、心悬衣饰这个人设的伏笔。	想象指尖从一匹凉滑的绸缎上轻轻滑过,光跟着手走——silk 就是那份滑而不腻、留得住光的触感。
dare [sound:w_dare_3993d7b6.mp3]	dєә	verb	v. 敢，胆敢；（dare not 不敢）	B2	She telegraphed her wish to Meg, but the eyebrows went up so <b class="hard">alarmingly</b> that she <b class="hl">dared</b> not <b class="hard">stir</b>. [sound:s_ch03_dare_de8c209d.mp3]	她把愿望做手势传给梅格，可梅格的眉毛挑得那么吓人，她不敢再轻举妄动。	little_women Ch3	<b>1. 逐项解析</b><br><br>• <b>She telegraphed her wish to Meg,</b>:主谓宾结构外加 to Meg 介词短语。telegraph 本义「打电报」,此处是比喻:她没法出声,只能靠表情、眼色把心愿「发送」给梅格,像打电报一样快速而无声。to Meg 指明传达的对象。<br>– <b>telegraphed</b>:动词 telegraph 的过去式(规则变化)。本义「用电报发送」,电报是当时最快的远距离通讯方式;比喻用法里指用脸色、手势把信息一蹴而就地递过去。这是理解整句的钥匙:不是真去发电报,而是「用目光打暗号」,把一个词用得像动词随语境而活。<br><br>• <b>but the eyebrows went up so alarmingly that she dared not stir.</b>:but 表转折;the eyebrows went up「眉毛扬了起来」是主谓结构,用眉毛的动作代指对方的惊讶与反对;so … that … 构成结果状语从句「如此……以至于……」。最后的 she dared not stir 是 that 从句的核心:dare 加 not 再加动词原形,意为「不敢动弹」。<br>– <b>dare</b><b class="hl">(目标词)</b>:动词「敢」。这里 dared not stir 用 dare 的半情态动词用法:dare 后面直接接动词原形,否定式 dare not 可连写为 daren&#x27;t,过去式是 dared,dared not 意为「(当时)不敢」。作实义动词时则常说 dare to do,否定句也可用 don&#x27;t dare (to) do,两种句式在口语里并存。<br>– <b>alarmingly</b><b class="hard">(超纲词)</b>:副词「惊人地、吓人地」。由 alarm「使惊慌」加后缀 -ingly 构成,渲染程度大到让人心里一紧;这里描写眉毛挑起的幅度大得吓人。<br>– <b>stir</b><b class="hard">(超纲词)</b>:动词「(微微)动一下」,本义是「搅动」,引申泛指「移动、挪动」;后接名词时还有「激起、唤起」之意(如 stir one&#x27;s memory)。这里 she dared not stir 字面是「吓得连动都不敢动」,译文作「不敢再轻举妄动」。过去式 stirred,现在分词 stirring。<br><br><b>2. 整句解读</b><br>乔心里冒出一个念头又不敢直说,只能挤眉弄眼,把心愿像打电报一样「发」给梅格;可梅格眉毛一挑,挑得那么吓人、那么有威慑力,乔顿时僵住,老老实实不敢再动。整句用电报作比喻写无声的交流,再用「眉毛上扬」与「不敢动」两个细节,把姐妹间的心照不宣和乔既淘气又怂的样子写得活灵活现。<br><br><b>3. 文化点</b><br>《小妇人》的背景是美国南北战争时期,电报是当时刚普及不久的新科技,既是「快」的代名词,又被当作新鲜谈资,所以作者用 telegraph 来比喻眼神传信,读者一眼就懂「又快又准」。梅格是长姐,向来是姐妹里最重规矩、最讲体面的一个,眉毛就是她的情绪晴雨表;乔这个爱闹腾的妹妹见了她的脸色立刻收敛,正是典型的姐妹相处画面。	想把手伸向奶油蛋糕又猛地缩回来——dare 就是那个「敢不敢伸」的临界点上,心怦怦跳的那一下。
fellow [sound:w_fellow_04915514.mp3]	'felәu	adjective	n. 小伙，家伙；伙伴	B2	Laurie proved a <b class="hard">jolly</b> <b class="hl">fellow</b>, full of fun and high spirits. [sound:s_ch03_fellow_04e4fe6b.mp3]	劳里原来是个快活的小伙子，浑身是趣，兴致勃勃。	little_women Ch3(AI 补句)	<b>1. 逐项解析</b><br><br>• <b>Laurie</b>:主语，人名劳里，《小妇人》中的少年主人公之一，专有名词首字母大写。<br><br>• <b>was a jolly fellow</b>:主系表结构：was 是系动词 be 的过去式，a jolly fellow 是表语，说明主语是「一个快活的小伙子」。译文中「原来是」就是由 was 带出的一种回顾语气，相当于「他那会儿正是……」。<br>– <b>jolly</b>:形容词「快活的、开心的」，口语色彩浓，比 happy 多一层爽朗带笑的感觉。拼写时注意结尾是 ll + y，双写 l。句中与 fellow 搭配，构成「快活的小伙子」。<br>– <b>fellow</b><b class="hl">(目标词)</b>:本句作名词，义为「小伙子、家伙、伙伴」，是口语中带亲近感的称呼。另有一个形容词用法，表示「同类的、同伴的」，如 fellow students 同学、fellow workers 同事，名词与形容词读音相同、拼写相同。<br><br>• <b>, full of fun and spirit</b>:逗号后的形容词短语，作非限制性补充说明，相当于定语从句 who was full of fun and spirit 的省略形式，给前文补两笔细节：这个家伙「浑身是趣、兴致勃勃」。fun 与 spirit 两个抽象名词并列，中文分别译成「趣」「兴致勃勃」，各成四字结构，读起来有节奏。<br>– <b>full of</b>:固定搭配，「充满……的」，be full of 后接名词，表示人或物里装满了什么，如 full of energy 精力充沛。注意是全写 full，不要少一个 l。<br>– <b>spirit</b>:名词，本句作不可数名词，义为「精神、活力、兴致」；复数 spirits 则指「情绪、心情」，如 in high spirits 兴高采烈。单复数含义不同，阅读时要看语境判断。<br><br><b>2. 整句解读</b><br>整句先用 was a jolly fellow 交代劳里「快活小伙子」的身份印象，再用逗号后的形容词短语 full of fun and spirit 往细节处补两笔，一个活蹦乱跳、浑身是趣的少年形象立刻立了起来。全句没有从句，主系表加补充说明，是叙事里最常见的「开头给人画一笔」写法，译文也顺势用三组轻快的词组把这个人物的精气神托出来。<br><br><b>3. 文化点</b><br>jolly、fellow 都带十足的英式口语味道，而《小妇人》写的是 19 世纪美国南北战争时期新英格兰的家庭故事；美国作者在笔下大量使用这类英式色彩的词，是那个时代文风的常见现象。fellow 作「家伙、小伙子」使用，也是当时人们提及朋友时的亲切说法，今天读来仍有一种旧式小说的暖意。	想象一个咧嘴笑、眼里闪着光的少年远远冲你扬下巴——「那个 fellow 又来啦」，不用介绍，你一眼就认得出他身上那股藏不住的劲。
