单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源	AI解析	词义概述
look about		phrase	环顾四周(带张望、不放心之感)	A1	Quite by accident, of course, some pretty, easy music lay on the piano, and with trembling fingers and frequent stops to listen and <b class="hl">look about</b>, Beth at last touched the great instrument, and straightway forgot her fear, herself, and everything else but the unspeakable delight which the music gave her, for it was like the voice of a beloved friend. [sound:s_ch06_look_about_3aaac39c.mp3]	当然，那完全是碰巧——钢琴上摆着几支动听又浅易的曲子；贝丝用颤抖的手指弹着，一次次停下来侧耳细听、环顾四周，终于按下了琴键……	little_women Ch6	look about 是 look around 的同义说法，意为「四下张望」，常带一种谨慎、不放心或好奇的意味，about 在此表「四处」。贝丝初次在人前弹琴，边弹边警觉地张望，画面紧张又可爱。日常形容进店找人、扫视房间、小心翼翼探察时都能用，比 look around 略文雅、更具画面感。	刚转学的小女孩第一次坐在新教室，手还在发抖，却忍不住每隔几秒就偷偷扭头张望——那就是 look about。
away he went		phrase	他就这样走掉了(表动作利落)	TOE	Good day, madam.&quot; And <b class="hl">away he went</b>, in a great hurry. [sound:s_ch06_away_he_went_74bd1535.mp3]	「再见，夫人。」说完，他便行色匆匆地离开了。	little_women Ch6	away + 主语 + went 是副词前置的倒装结构，比平铺的 He went away 更有动感，仿佛亲眼看着人物转身就走、头也不回。叙事和口语里描写「说完就走」「飞奔而去」时，Away he went / Away they went 是地道的英语表达，也是学习者不容易自己造出来的句式。	话一落音人已转身，衣角带起一阵风，眨眼就到了门口——away he went。
charm [sound:w_charm_c9469a9c.mp3]	tʃɑ:m	noun	n. 魅力，吸引力；护身符　vt. 迷住	B2	The old house had a quiet <b class="hl">charm</b> that won all who entered it. [sound:s_ch06_charm_7751e810.mp3]	这幢老宅有一种宁静的魅力，走进来的人都被它打动。	little_women Ch6(AI 补句)	<b>1. 逐项解析</b><br><br>• The old house——全句主语。定冠词 the 表「这幢特定的」,old 强调「老」,house 是「房子」,合起来指一幢带着岁月感的老宅。<br><br>• had——动词 have 的过去式,意为「拥有、带有」。用过去时叙述,是在讲述过去某个时刻的那幢房子的状态。<br><br>• a quiet charm——动宾结构的核心,也是目标词所在。charm 作名词,此处取「魅力、吸引力」义(它另有「护身符、符咒」义项,作动词时意为「迷住」)。quiet 修饰 charm 是点睛之笔:不是张扬喧闹的魅力,而是安静内敛、要身处其中慢慢感受的吸引力。<br><br>• that won all who entered it——定语从句,修饰 charm,说明这魅力的效果:它「赢」得了走进来的每一个人。<br><br>• that——关系代词,在从句中作主语,指代 a quiet charm。<br><br>• won——win 的过去式,这里不是「赢得比赛」,而是「赢得人心、征服、打动」。字面是 charm won all,即「魅力征服了所有人」,属于把抽象事物拟人化的文学笔法。<br><br>• all——代词,指代人,意为「所有人」,作 won 的宾语。<br><br>• who entered it——定语从句,修饰 all。who 是关系代词充当从句主语,entered 是 enter 的过去式,it 回指 the old house。<br><br>• 目标词小结:charm 读 /tʃɑ:m/,名词核心义「魅力、吸引力」,源自古法语,源头是拉丁语 carmen(歌、符咒),本义指念咒用的护身符;因此它的义项链是「符咒→魔力→令人着迷的气质」,还保留了「护身符」一义,合成动词后则是「迷住、使陶醉」。本句用的是名词「魅力」义。<br><br><b>2. 整句解读</b><br>句子主干是 The old house had a quiet charm,一个工整的「主—谓—宾」骨架:老宅拥有一种魅力。真正传神在两处:一是 quiet charm,说这份魅力是安静的、不声张的,像老屋本身一样沉得住气;二是 won,把魅力当作主语去「赢」人——不是说服、不是讨好,而是一种无形的征服。who entered it 补出对象:凡是踏进门槛的人,无一幸免。整句语气从容温存,带着旧物特有的怀旧与敬意。中文译文把英文字的主动 won all 翻成被动的「走进来的人都被它打动」,非常贴切:中文里「被打动」比「赢」更顺口,也更贴合「被魅力感染」的语感;「宁静的魅力」直译 a quiet charm,quiet 的「内敛、不张扬」意味一点没丢,是全句最温柔的音符。<br><br><b>3. 文化点</b><br>这句话自带 19 世纪英美小说的「老宅」意象:无论是英国维多利亚小说里的乡间庄园,还是《小妇人》这类美国成长小说中的旧屋,都常写经过岁月沉淀的房子自带一股说不清道不明的气场,让人一进门就安静下来。charm 这个词本身也带着古意与魔力——它源自古拉丁语 carmen(歌、符咒),中世纪时指挂在身上避邪的护身符,后来「魔力」褪去,只剩「令人着迷」的引申义,所以 charming(迷人的)至今仍保留着「像中了魔法一样挪不开步」的劲头。用 charm 形容老宅,正是在用「老物件自有魔力」的语感来写建筑的吸引力;这种「旧屋有魂、崇古怀旧」的审美,正是 19 世纪浪漫主义思潮的余韵。	深巷尽头的老宅,门缝里漏出一线昏黄的灯,你推门进去就再也舍不得走——charm 就是那股让你心甘情愿留下的暖。
pride [sound:w_pride_ac1cea31.mp3]	praid	noun	n. 自尊，自豪；骄傲　（pride oneself on 以…为傲）	B2	So they soon forgot their <b class="hl">pride</b> and <b class="hard">interchanged</b> kindnesses without stopping to think which was the greater. [sound:s_ch06_pride_642dd728.mp3]	于是她们很快忘了面子上的较劲，相互示好也不再计较谁让得多。	little_women Ch6	<b>1. 逐项解析</b><br>So：副词,表示「于是、因此」,承接上文,引出结果。<br>they：代词,指代上一句提到的姐妹(即《小妇人》里的梅格、乔、贝丝、艾米四姐妹)。<br>soon：副词「不久、很快」,强调时间之短,说明那点别扭没持续多久。<br>forgot：动词 forget 的过去式「忘记」。forgot their pride = 把那点矜持/较劲抛到脑后。<br>their pride：their 是物主代词,作定语。注意这里的 pride 不是「自豪感」,而是「傲气、面子、不肯先低头的矜持」——这正是目标词在本句中的难点义项:用在闹别扭的语境里,pride 摇身一变成了贬义偏中性的「好面子」。<br>and：并列连词,连接两个动作 forgot... 和 interchanged...。<br>interchanged：超纲词。interchange = inter(相互)＋change(交换),字面就是「互相交换」。interchanged kindnesses 即「互相示好、礼尚往来」,比口语的 gave each other 文雅正式,透出 19 世纪小说的书面语味道。<br>kindnesses：kindness(善意)的复数,此处用复数表示「一次次具体的善举/示好」,把抽象名词具体化,读起来有「你来我往」的动态感。<br>without stopping to think：介词短语作方式状语。「without + 动名词」结构,表示「没有停下来去思考」,强调动作是下意识的、不经算计的。注意 stop to think 是「停下来(为了)想」,to think 表目的;若写 stopping thinking 才是「停止思考」,语义相反——这是易混点。<br>which was the greater：名词性从句,作 think 的宾语。which 指代两姐妹各自「让步/付出」的量,the greater 是省略说法,即「哪一方让步更多」。整块意思是「谁让得多、谁付出得多」。<br><br><b>2. 整句解读</b><br>整句话讲的是四姐妹闹别扭后很快和好。前半句「they soon forgot their pride」点明心态转变:因为彼此在乎,那点面子很快被放下;接着「interchanged kindnesses」写出她们开始互相示好,复数 kindnesses 暗示这是有来有往的一连串举动;最关键的是收尾的「without stopping to think which was the greater」——她们不再衡量谁让步更多。这正是整句的情感落点:真正的和解是不算账的。中文译文把 pride 译成「面子上的较劲」而非「骄傲」,精准抓住本句里 pride「好面子、要强」的义项;interchanged kindnesses 译成「相互示好」、「without stopping to think which was the greater」拆译为「也不计较谁让得多」,语气轻快口语化,读起来像一句悄悄话式的旁白,比硬译「没有停下来想哪一方更大」自然得多。原文 forgot 与 interchanged 两个过去式平行并列,句子干净利落,也暗合「小事很快翻篇」的轻快口吻。<br><br><b>3. 文化点</b><br>这句出自《小妇人》(Little Women,1868)。在 19 世纪美国家庭文学里,pride 常与「淑女教养」纠缠在一起:姐妹间的争执往往被写成面子之争,而主动「放下 pride、先示好」被视为更高贵的品格,这正是小说反复教学的处世课。译文用「较劲、谁让得多」这类亲切口语,把原文典雅的叙事转译成贴近现代读者生活语感的话,也是为了让中文读者瞬间读懂这场「面子拉锯战」的微妙心理。	两个闹别扭的姐妹板着脸互不理睬,谁都不肯先张口;没几分钟,其中一个忍不住递过去一小块蛋糕,另一个噗嗤笑出声——那张端了一路的「面子」啪嗒掉在地上了。
humble [sound:w_humble_055b9a4c.mp3]	'hʌmbl	adjective	a. 谦逊的；卑微的；简陋的	C1	&quot;&#x27;Your <b class="hl">humble</b> servant, James Laurence&#x27;. [sound:s_ch06_humble_9bf045c1.mp3]	“您谦卑的仆人，詹姆斯·劳伦斯。”	little_women Ch6	【逐项解析】<br>1. Your:形容词性物主代词,意为「您的」。它领起称呼「您谦卑的仆人」,表明这个仆人属于收信人,是客套落款的标准开头,语气正式而恭敬。<br>2. humble:目标词,形容词,音标 /ˈhʌmbl/,CEFR 为 C1 的较高难度词。本义是「地位低下、卑微的」,引申为「谦逊的、谦恭的」;这里作定语修饰 servant,取「卑微」之义,即把自己放得很低来抬举对方。词源上它和拉丁语 humus(泥土、地面)同源,字面感觉就像「贴地、低到尘土里」,自带画面感。<br>3. servant:名词,「仆人、佣人」。由动词 serve(服务、侍奉)加名词后缀 -ant(表「……的人」,如 assistant 助手、applicant 申请者)构成。注意客套语里的 servant 并非真实雇佣关系,而是书信礼仪中的谦称,把自己说成替对方办事的「下人」。<br>4. James Laurence:写信人的签名。James 是名,Laurence 是姓。在《小妇人》中,这是劳伦斯家少爷劳瑞(Laurie)的正式署名——他全名本是 Theodore Laurence,这里自称 James,更添一层玩笑与化名的趣味。<br>5. 标点与整体结构:称呼与签名之间用逗号隔开,句末句号收尾,整句是黏贴在信件末尾的落款套语「formula for closing a letter」,并不是完整的「主谓」陈述句,所以中文翻译保留它的称呼调子即可,不必硬译成句子。<br><br>【整句解读】<br>这是一句典型的 19 世纪英文书信落款语,字面意为「您谦卑的仆人,詹姆斯·劳伦斯」,通常写在信的最末尾、署名之前,作用是向收信人表达恭敬。写信人自称「仆人」当然不是事实,而是一种礼貌性的自我贬低:把自己摆到低位、把对方抬到高位,越是这么说,越显得收信人尊贵。整句由「Your humble servant + 逗号 + 签名」构成,读起来庄重、克制,带着旧时代书信特有的仪式感;humble 用在这里,既是字面的「卑微」,也暗含「谦逊懂事」的褒义。中文译文保留字面「您谦卑的仆人」,就是让这套老派腔调原样呈现在读者面前,不替读者解释成白话;若想体会其实际功能,可以类比旧式书信末尾的「晚生拜上」「愚弟顿首」一类的客套。<br><br>【文化点】<br>在维多利亚时代的英国(也是《小妇人》成书的 19 世纪),正式书信、尤其写给长辈或地位更高者时,信末常用「Your obedient servant」「Your faithful servant」一类套语收束,字面上把自己称作对方的仆人,以显谦卑与忠诚。小说里,出身富有的劳瑞少爷用这句卑微落款给马奇家姐妹写便条,既有上流社会的教养,又带着顽皮的自嘲——谦卑在这里是礼节与幽默的混合体。这类落款在今天英文中几乎绝迹,只在戏谑或仿古场合出现,读到时应联想到书信时代那一整套尊卑分明、咬文嚼字的礼仪文化。	画面感:一间老式庄园的客厅里,仆人们齐齐弯腰到九十度、帽子抵在胸口,同声说着「您的恭顺仆人」——记住 humble,它就是那条弯得很低、几乎贴着地面的脊背。
joy [sound:w_joy_c7d56fc0.mp3]	dʒɒi	noun	n. 欢乐,高兴;乐事,令人高兴的事	B2	Let&#x27;s hear the sound of the baby <b class="hard">pianny</b>,&quot; said Hannah, who always took a share in the family <b class="hl">joys</b> and sorrows. [sound:s_ch06_joy_9c5b1dc7.mp3]	“让我们听听宝贝钢琴的声音吧,”汉娜说——她总是分享这个家庭的喜怒哀乐。	little_women Ch6	<b>1. 逐项解析:</b><br>1.1. Let&#x27;s:let us 的缩写,表示提议、邀请,语气轻松亲切,约等于「我们一起……吧」。<br>1.2. hear the sound:hear 是感官动词「听见」,后面直接接听到的对象;the sound of……指「……的声音」,of 引出声音的来源。<br>1.3. the baby pianny:the 特指家里那架琴;baby 此处不作「婴儿」解,而表示「小的、迷你的」,baby piano 即小钢琴;pianny 是本句超纲词,它是 piano 的儿童式口音说法(像孩子或带口音的人含含糊糊说出来的),这样称呼透着亲昵家常。<br>1.4. said Hannah:引语之后的说话人提示语,采用倒装语序,相当于 Hannah said;英文直接引语后接倒装提示语很常见,读来自然流畅。<br>1.5. who always took a share in the family joys and sorrows:非限定性定语从句,由 who 引导,用逗号与前文隔开,补充说明汉娜的为人,去掉也不影响句子主干。<br>1.6. took a share in:固定搭配,意为「分担、分享、共同经历」,share 在此是名词「一份」,整组即「在……中占一份」。<br>1.7. the family joys and sorrows:joys 是目标词 joy 的复数形式(joy→joys,直接加 s),不单指抽象的高兴,还指一件件具体的乐事;sorrows 是 sorrow 的复数,指具体的伤心事。joys and sorrows 阴阳对举,是英文中很顺口的固定说法。<br><br><b>2. 整句解读:</b>汉娜说:「让我们听听这架宝贝小钢琴的声音吧。」她作为马奇家多年的老帮佣,早已把自己当成家里的一份子,所以接下来那句「她总是分享这个家庭的喜怒哀乐」讲的是:这家人的每一桩乐事、每一桩难事,她都有份共同经历。整句结构是「直接引语 + 谁说的 + 顺着说明此人」,由引语语境自然带出汉娜的身份。语气暖融融、带着家常的亲昵,baby pianny 一个儿化口音,立刻让这位老佣人的形象活了起来。中文里把英文引号换成中文引号、把 the family joys and sorrows 译成四字格「喜怒哀乐」,正好用汉语的四字并列对应英文的并列名词,节奏与韵味都对齐了。<br><br><b>3. 文化点:</b>句子出自《小妇人》(Little Women,1868 年出版)第一章。19 世纪的美国家庭里,钢琴几乎是客厅的标配,是全家音乐活动和节庆娱乐的中心,所以汉娜才会像宝贝一样护着那小钢琴。汉娜在马奇家帮佣多年,小说把她写成与家人同甘共苦的一员,这段「分享家庭喜怒哀乐」正是全书温暖底色的缩影。joys and sorrows 这类对仗表达是当时英语日常与文学中的常用修辞,与汉语「喜怒哀乐」几乎一一对应。	蜡烛亮起、全家人同时笑出声的那一刻,光亮从心底往外冒——那种感觉就是 joy。
mischief [sound:w_mischief_27196172.mp3]	'mistʃif	—	n. 恶作剧，淘气；损害（get into mischief 闯祸）	C1	He can&#x27;t get into <b class="hl">mischief</b> in that little <b class="hard">nunnery</b> over there, and Mrs. March is doing more for him than we can.&quot; What good times they had, to be sure. [sound:s_ch06_mischief_0d49a50e.mp3]	“他关在那座小修道院里搞不出名堂来，而马奇太太为他做的比我们能做的多得多。”	little_women Ch6	整句是长辈对马奇家的由衷夸赞,再缀上叙述者的一句感叹。<br>【逐项解析】<br>1. He：人称代词,指前文里的劳里(Laurie)。<br>2. can&#x27;t get into mischief：can&#x27;t 是情态动词 can 的否定,此处表“不可能”,是说话人很笃定的判断;get into 是固定词组,意为“陷入、进入某种(不好的)状态”;mischief 是名词,核心义为“恶作剧、捣蛋、闯下的小祸”,三者合起来 get into mischief 就是“闯祸、惹麻烦”。注意 mischief 是不可数名词,没有复数形式;它的形容词是 mischievous(调皮的),不要拼成 mischiefous。<br>3. in that little nunnery over there：介词短语作地点状语。little 带着亲昵轻巧的语气;nunnery 是这一句的超纲词,字面指“女修道院、尼姑庵”,这儿被用来戏称马奇家那座“住满四姐妹”的房子——满宅子都是规矩的姑娘,言下之意就是清净、出不了乱子;over there 表示“那边那座”,说话人习惯性地与它保持一点距离感。<br>4. and Mrs. March is doing more for him than we can：and 连接一个并列分句,把“马奇家”和“说话人自家”对照起来。Mrs. March 是马奇太太,Mrs. 是称呼已婚女性的尊称;is doing 用现在进行时,强调这种付出正在持续、源源不断;more 是比较级,意思是“更多”,与后面的 than 呼应;than we can 是比较状语从句,can 后面省略了 do,等于 than we can do,即“比我们能做的(还多)”。<br>5. “What good times they had, to be sure.”：引号里那句话说完,这半句是叙述者(narrator)跳出情节的旁白感慨。What 引导感叹句,what good times 即“多么美好的时光”;they 指这群孩子;had 是 have 的过去式,表示回忆当年;to be sure 是插入语,意为“确实、不消说”,把感叹的语气又加重了一层。<br>【整句解读】<br>整句话出自《小妇人》,是劳里的祖父老劳伦斯对马奇家的由衷夸赞:那座“小修道院”里全是规矩的姑娘,又有热心的马奇太太照应,劳里被好好地看着,根本“闹不出名堂来”。前半句用戏谑的比喻讲“安全、不会闯祸”,后半句用比较结构讲“照顾得比我们能做的还多”,一抑一扬,透出放心、感激和一点幽默。中文译文最妙的是两处:一是把 get into mischief 译成“搞不出名堂来”,既保住了“惹不出祸来”的核心意思,又带着汉语口语的俏皮,和 nunnery 这个玩笑浑然一体;二是“关在”二字,把这个“小伙子被圈在一群姑娘当中”的画面不动声色地坐实了。最后一句视角切换到叙述者,“他们过得可真快活呀,可不是么”,用一句轻叹给整段快乐的回忆收口,语气温暖而满足。<br>【文化点】<br>《小妇人》(露易莎·梅·奥尔科特,1868 年)写的是 19 世纪美国马萨诸塞州的新英格兰生活,在当时清教徒风气之下,未婚年轻女子的言行受到很严的约束,一个“全是姑娘”的人家自然被认为是清净规矩、出不了事的地方——所以把马奇家叫作“小修道院(nunnery)”在那个年代是顺理成章的玩笑。nunnery 还有一个著名的文学回声:莎士比亚《哈姆雷特》里,哈姆雷特对奥菲莉娅说“Get thee to a nunnery”(进修道院待着去吧),此后“送进修道院”渐渐带上了“把人关起来、与世隔绝、严加管束”的意味,正好和译文里的“关在”遥相呼应。另外,老劳伦斯肯把宝贝孙子托付给对门人家,也恰恰写出两家人之间朴素而深厚的人情往来。	一只橘猫打翻毛线篮,叼着线团满屋狂奔还得意地甩尾巴——那股让你又急又笑的捣蛋劲,就是 mischief。
earnest [sound:w_earnest_3e06acbd.mp3]	'ә:nist	—	a. 认真的；诚挚的（in earnest 当真）	C1	She was so <b class="hl">earnest</b> in her wish to help that no one could refuse her. [sound:s_ch06_earnest_895fa972.mp3]	她帮忙的心意那样恳切，谁也没法拒绝她。	little_women Ch6(AI 补句)	<b>1. 逐项解析：</b><br><br>• She 她：主语，指代文中那位热心帮忙的女子（在《小妇人》语境里多指某位姐妹）。<br><br>• was so earnest 是那样恳切：系表结构作谓语。was 是 be 动词的过去式（系动词），so 是程度副词「如此、那样」，earnest 是形容词「认真的、诚挚的」，作表语形容主语当时的状态。earnest 强调一个人发自真心、认认真真的那股劲头，不是随口一说的热心。<br><br>• in her wish to help 在她想要帮忙的心愿上：介词短语作状语，点明 earnest 体现在哪一方面。in 表示「在某方面」；wish 是名词「愿望」；to help 是不定式作 wish 的后置定语，等于「想要帮忙的」心愿，整体译成「帮忙的心意」。<br><br>• so…that… 如此……以至于……：结果状语从句的经典搭配。so 修饰主句里的形容词 earnest，that 引出结果从句，交代这股恳切到底产生了什么效果。<br><br>• that no one could refuse her 以至于谁也没法拒绝她：that 引导的结果从句。no one 没有人作主语，could refuse 表示「（客观上）无法拒绝」，refuse her 拒绝她。整句因果链：诚意足够深，结果就是无人拒绝。<br><br>• 搭配与派生：be earnest in + 名词/动名词 是常见结构，意为「在某方面认真、恳切」；派生词还有副词 earnestly（认真地）和名词 earnestness（诚挚、认真）。另外 in earnest 是固定短语，意为「当真、认真地」，可顺带记忆以区分。<br><br><b>2. 整句解读：</b><br>一句话把「程度」和「结果」扣得很紧。She was so earnest 先立住人物形象——她不是客气地搭把手，而是整个人都透着一股真诚的劲头；in her wish to help 把这股劲儿精准地落在「想帮忙」这件事上，读者立刻明白她「恳切」的具体所指；紧跟着 so…that… 抛出结果——no one could refuse her，谁都无法拒绝。语气是旁观者带着温情的感叹口吻，仿佛在说：「她那股认真劲儿，让人看着就心软。」译文把静态的 earnest 处理成动态的「心意那样恳切」，更贴合汉语习惯；「谁也没法拒绝她」保留了 no one could 的委婉推断语气，不生硬，读起来自然顺口。<br><br><b>3. 文化点：</b><br>此句是 19 世纪家庭成长小说（如路易莎·梅·奥尔科特的《小妇人》）刻画人物的常见笔法：用 so…that… 放大性格优点，再借他人反应侧面烘托。earnest 在维多利亚时代还有一层时代色彩——当时社会推崇 earnestness（诚挚、真诚）为重要美德，它不只是性格描述，还带有道德上的褒义，所以全书里「认真」「恳切」的女孩往往也被视作品性端正的正面形象。	画面感记忆钩子：想象一个女孩双手攥紧围裙边，眼睛里亮着光，执拗地一遍遍说「我就是要帮你」，那股认真劲儿让所有人只能点头——earnest 就是她此刻的眼神。
afterward [sound:w_afterward_7d908755.mp3]	'ɑ:ftәwәd	—	adv. 后来,以后,随后	B2	They would have been still more <b class="hard">amazed</b> if they had seen what Beth did <b class="hl">afterward</b>. [sound:s_ch06_afterward_43bbc254.mp3]	如果她们看到贝丝后来的举动,还会更加惊讶。	little_women Ch6	<b>1. 逐项解析</b><br><br>• They:主语,「她们」。指代前文提到的马奇家姐妹们——本句出自《小妇人》,故事的四个主角是住在同一屋檐下的四姐妹。<br><br>• would have been:情态动词虚拟式,由 would + have + been 构成,表示「对过去的假设:本会是……(但实际上并非如此或不一定)」。它与后面的 if 从句一起构成虚拟条件句,是理解全句语气的枢纽。<br><br>• still more amazed:still 此处不作「仍然」讲,而是强调副词,义同 even,「还要、更加」;more 构成比较级;amazed 是 amaze 的过去分词,在此用作形容词,「感到惊讶的」。三词连起来就是「还要更加惊讶」。amazed 是句中列出的超纲词,常用搭配为 be amazed at/by sth.「对……感到惊讶」。<br><br>• if they had seen:条件从句,动词用过去完成时 had seen,表示与过去事实相反的假设——「如果她们当时看到的话」。主句为 would have been,两者相配即是标准的「与过去事实相反的虚拟条件句」:假设发生在过去,而现实并非如此。<br><br>• what Beth did:what 引导的宾语从句,整体充当 had seen 的宾语,即「贝丝所做的事情」。Beth 是四姐妹中排行老三的贝丝,生性羞怯安静;did 是 do 的过去式,在此指「做出、做出的举动」。<br><br>• afterward:副词,「后来、以后、随后」,书面语与口语都常用;英式英语也写作 afterwards,两词同义。在句中作时间状语,修饰 did,表示「贝丝做那件事」发生在「她们看」这一时刻之后。拆词看,after(在……之后)+ -ward(表示「朝向……」的后缀),合起来就是「朝向时间后段的那一边」,即「此后」。不带 s 的 afterward 为美式拼法,带 s 的 afterwards 为英式拼法。<br><br><br><b>2. 整句解读</b><br>全句是一个「与过去事实相反的虚拟条件句」,主干逻辑是:姐妹们此前所见已令她们惊讶;假如她们连贝丝后来的举动也一并看到,惊讶还要再升一档。说话人借虚拟语气做一次假设推演来衬托「后事」的出人意料——不直接说贝丝那件事有多惊人,而是用「连……都会更惊讶」的迂回说法,把想象空间留给读者。语气是叙述者站在事后回望的视角,平静克制却暗含反差与悬念。中文译文把英文的时间状语 afterward 翻转成定语「后来的」,译作「看到贝丝后来的举动」,符合汉语「时间+事件」的自然语序;主句的 still 用「还」字补足,译成「还会更加惊讶」,既贴原文又语气递进。读这类句子时先把「真实已发生的事」(她们已经惊讶)与「假设推演的事」(看到后事会更惊讶)分成两条线,句意立刻清晰。<br><br><br><b>3. 文化点</b><br>本句出自 19 世纪美国女作家路易莎·梅·奥尔科特的小说《小妇人》(Little Women),书中描写内战时期马奇家四姐妹从少女到成人的家庭生活与成长。贝丝是四姐妹中最安静、最文静也最善良的那一个;作者用「看到她的后事会加倍惊讶」来写她,正是想突出「平时最不起眼的人,往往藏着最动人的惊喜」这种反差。另外,would have done / had done 一类虚拟结构在十九世纪小说叙述中常用来表达对往事的假设、追悔或反衬,读时把「真实」与「假设」两条时间线分清,就不会被绕晕。	大年初一放完最后一支烟花,afterward 就是落在雪地上那只仍滋滋冒着残烟的红色纸筒——热闹退场后的那一秒。
astonish [sound:w_astonish_4da935c3.mp3]	ә'stɒniʃ	—	v. 使惊讶，使震惊	C1	If the roof of the house had suddenly flown off, the old gentleman wouldn&#x27;t have been more <b class="hl">astonished</b>. [sound:s_ch06_astonish_83ceff99.mp3]	就算屋顶突然被掀飞了，这位老先生也不至于比这更吃惊。	little_women Ch6	<b>1. 逐项解析：</b><br>①「If the roof of the house had suddenly flown off」——条件状语从句,作「假如……」。这里是第三条件句(与过去事实相反的虚拟假设):从句用 had + 过去分词,主句用 would have + 过去分词,全句在假设一件「没有发生的事」,语气是夸张的假设。<br>②「the roof of the house」——房子的屋顶。roof(屋顶)是核心名词,of the house 是介词短语作后置定语,说明是「这栋房子的」屋顶。<br>③「had suddenly flown off」——(屋顶)猛地被掀飞。fly off 意为「飞走、脱开」,过去分词是 flown(不规则变化 fly→flew→flown),由 had 引出构成过去完成时,表示假设发生在更早的「过去」。suddenly(突然地)修饰整个动作,强调毫无征兆、猝不及防。<br>④「the old gentleman」——这位老先生,句子主语。gentleman(绅士)在讲礼节、看重身份的语境里是对有教养男士的尊称,透出 19 世纪小说的时代气息。<br>⑤「wouldn&#x27;t have been」——虚拟语气主句的谓语,「本不至于、不可能……」。would 的否定式加完成时,与从句的 had done 成对出现,共同构成「与过去相反的假设」。<br>⑥「more astonished」——更吃惊的。astonished 是目标词 astonish 的过去分词用作形容词,「感到惊讶的」,主语是人;more 构成比较级。整个主句「wouldn&#x27;t have been more astonished」意思是「(就算那样)他也不会比现在更吃惊」,言外之意:此刻的惊讶已经到头,世界上再没有比这更大的惊吓。本句没有超纲词,真正的难点全在第三条件句的虚拟语气结构,以及 astonished 与 amazement 一族「动词→形容词」的转用。<br><br><b>2. 整句解读：</b><br>这句是一场夸张的「比高低」。说话人把「眼前这件事」和「屋顶突然被掀上天」同时摆出来,结论是:哪怕屋顶真塌了、房盖真飞了,老绅士受到的震动也不会超过此刻这一下。中文译文用「就算……也不至于比这更吃惊」,把英文虚拟条件句的「假设(had flown off)」译成「就算」,把主句的「wouldn&#x27;t」(恐怕不会)译成「不至于」,既守住了夸张的分寸,又贴中文口语的自然语感。整句的语感是半开玩笑的强调——他此刻的惊讶程度已经是极限值,没有什么能再让他更「astonished」一刻。<br><br><b>3. 文化点：</b><br>这句话出自《小妇人》(Little Women,1868)。在 19 世纪中期的美国,「old gentleman」对应的是体面、守礼、喜怒不形于色的绅士形象;能让这样一位阅尽世故的老先生「惊到仿佛屋顶被掀飞」,足见事件之离奇。借「屋顶被掀飞」这种荒诞到不可能的画面来丈量惊讶程度,也正符合当时家庭小说家常、幽默、带点夸张的叙事腔调。	想象屋顶在你眼前「嗖」地飞上天,老绅士的下巴咚地掉到地上——嘴张得比门框还大。
