单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源	AI解析	词义概述
worked out		phrase	构思完善、铺陈周到(指想法被充分展开、落实到位)	TOE	&quot;Don&#x27;t spoil your book, my girl, for there is more in it than you know, and the idea is well <b class="hl">worked out</b>. [sound:s_ch27_worked_out_4a89545a.mp3]	别糟蹋你的书,我的好姑娘,因为书里蕴含的东西比你意识到的更多,这个构思也已经铺陈得很完善了。	little_women Ch27	work out 是高频动词短语,此处以被动形式出现,the idea is well worked out 即「这个构思已被打磨得相当成熟、展开得很透彻」。它还有「算出来、解决、锻炼、进展顺利」等多个常见义,搭配丰富、口语书面通用。谈论计划、方案、作品构思是否成熟、能否落地时都可以用,如 work out a plan、things worked out fine。	像工程师摊开图纸,把一个模糊点子一步步补齐成能落地执行的成品——把毛坯打磨成件,就是 work out。
ripen [sound:w_ripen_5cef800f.mp3]	'raipәn	—	v. 成熟；使成熟	C1	The fruit <b class="hl">ripened</b> slowly under the warm September sun. [sound:s_ch27_ripen_f432aa3b.mp3]	九月暖阳下，果实慢慢成熟。	little_women Ch27(AI 补句)	<b>1. 逐项解析：</b><br>（1）词形与构词：ripen 由形容词 ripe（成熟的）加上动词后缀 -en 构成，意思是「（使）变成熟」；-en 常见于表「逐渐变成某状态」的动词，如 widen（变宽）、sharpen（变锋利）。<br>（2）屈折形态：ripened 是一般过去式，表示过去时段内缓慢完成的变化。<br>（3）主语 the fruit 为单数，泛指「那些/这种果实」。<br>（4）slowly 是副词，修饰 ripened，强调成熟过程又慢又从容。<br>（5）under the warm September sun 是介词短语作状语，交代成熟的环境——warm（温暖的）、September（九月）、sun（太阳）。<br>（6）本句是「主语 + 不及物动词 ripened + 状语」的简单主谓结构。<br><br><b>2. 整句解读：</b>句子骨架是「果实在地点状语里缓慢成熟」。warm 与 slowly 联手营造出柔和、缓慢的氛围——不是一夜熟透，而是被九月阳光一点点焐熟；整句读来平和温暖，有一种收获时节的踏实感。中文译文「九月暖阳下，果实慢慢成熟」把 under 译作「下」、把环境提前，是因为中文习惯先摆场景再报结果，语气与英文的安宁静谧完全对应。<br><br><b>3. 文化点：</b>北半球九月正值初秋，是果实集中成熟的时令；19 世纪写实小说常拿「果实成熟」暗喻人物成长，此处也透出「时间到了自然会熟」的从容。	想象一颗青苹果在九月阳光里一天天染红，红从果尖慢慢洇开，像泡开的茶色。
erect [sound:w_erect_11d653c4.mp3]	i'rekt	verb	a. 直立的，竖起的　vt. 竖立；建立	C1	At such times the <b class="hard">intruder</b> <b class="hard">silently</b> withdrew, and not until the red bow was seen gaily <b class="hl">erect</b> upon the gifted brow, did anyone dare address Jo. [sound:s_ch27_erect_56dae64d.mp3]	每逢这种时候，闯进来的人便悄悄退了出去，直到那个红蝴蝶结又欢快地出现在……	little_women Ch27	<b>1. 逐项解析：</b><br>（1）At such times：介词短语作时间状语，意为「每逢这样的时刻」，such 回指上文乔发脾气的时期。<br>（2）the intruder：超纲词，来自 intrude（闯入）加名词后缀 -er，本义「闯入者」，此处指误闯乔的地盘、打扰到她的家人。<br>（3）silently：超纲词，由 silent（安静的）加 -ly 构成，副词，意为「悄悄地」，修饰 withdrew。<br>（4）withdrew：withdraw（退出、撤退）的过去式；with 有「向后」义，draw 是「拉」，字面是「拉回去」，引申为悄然撤离。<br>（5）not until the red bow was seen gaily erect upon the gifted brow：not until 引导时间状语从句。the red bow（红色蝴蝶结）是从句主语；was seen 是被动语态（被看到）；gaily（欢快地）修饰 erect；erect 此处是形容词「直立的、翘着的」（注意，不是动词用法）；upon the gifted brow 即「在乔那聪慧的额头之上」；gifted 意为有天赋的。整块是说：直到红蝴蝶结又被看到神气地翘在乔的额头上。<br>（6）did anyone dare address Jo：not until 置于句首引起部分倒装，正常语序是 anyone dared to address Jo（才有人敢和乔搭话）；dare 敢，address 此处作「搭话、招呼」讲。<br><br><b>2. 整句解读：</b>全句意思是：每逢这种时候，闯进门的人都会悄悄退出去，直到看见那枚红蝴蝶结又欢快地翘在乔聪慧的额头上，才有人敢开口同她说话。not until…did… 表示「直到……才……」，把时间条件顶到句首，凸显乔情绪回暖的临界点；gaily erect 用拟人笔法把蝴蝶结写得兴高采烈，其实是在写乔的心情——蝴蝶结翘起来，人也就「缓过来」了。整句是《小妇人》典型的谐趣写法：拿一件小物件写一个人的情绪，举重若轻。<br><br><b>3. 文化点：</b>出自 19 世纪美国小说《小妇人》。女作家乔·马奇写作或愠怒时，全家人都对她敬而远之；红色蝴蝶结是她的标志性头饰，成了家人判断「乔现在好不好惹」的信号灯。19 世纪少女常用缎带束发，件件小配饰都能成为小说里传神的道具。	想象乔额前那枚红蝴蝶结啪地一翘，像竖起耳朵的小犬，全家人都松了口气。
nap [sound:w_nap_c2640f79.mp3]	næp	—	n. 小睡，打盹（take a nap）　vi. 打盹	C1	<b class="hard">Grandpa</b> took his afternoon <b class="hl">nap</b> in the big armchair. [sound:s_ch27_nap_98032f5e.mp3]	爷爷在宽大的扶手椅里睡午觉。	little_women Ch27(AI 补句)	<b>1. 逐项解析：</b><br>（1）Grandpa：爷爷，口语化称呼（超纲词但很好认），首字母大写，直接指称呼对象。<br>（2）took：take 的过去式；take a nap 是固定搭配，意为「睡个小觉、打个盹」。<br>（3）his afternoon nap：his 是物主代词，afternoon nap 即「午后的睡眠」；此处 nap 作名词用。<br>（4）in the big armchair：介词短语作地点状语；armchair 是扶手椅（arm 扶手加 chair 椅子），big 宽大的。<br><br><b>2. 整句解读：</b>这是典型的日常叙事句：谁（爷爷）+ 做什么（take a nap）+ 在哪里（in the big armchair），用词平实、节奏舒缓，很有翻书页般的家常画面感。中文把地点状语提前成「在宽大的扶手椅里睡午觉」，符合中文先说地点的习惯。要特别留心 nap 与 sleep 的区别：sleep 是较长时段的睡眠，nap 是短暂的小憩，所以译成「睡午觉」比「睡觉」更贴切，take a nap 是日常最高频的搭配。<br><br><b>3. 文化点：</b>西方文学写老人的悠闲日常，常出现「午后在扶手椅里打盹」的意象——扶手椅、斜斜的阳光、微微的鼾声，和中文里「午后摇椅上眯一觉」的画面感完全相通。	午后的阳光斜斜落在扶手椅上，爷爷头一点一点，鼾声轻轻地一起一落。
fable [sound:w_fable_e40132f7.mp3]	'feibl	—	n. 寓言；（集体）神话传说	C1	In the hope of pleasing everyone, she took everyone&#x27;s advice, and like the old man and his donkey in the <b class="hl">fable</b> suited nobody. [sound:s_ch27_fable_a8ac5fa0.mp3]	为了让每个人都满意，她听取每个人的意见，结果就像寓言里那个老人和驴子一样……	little_women Ch27	<b>1. 逐项解析：</b><br>（1）In the hope of pleasing everyone：介词短语作目的状语；in the hope of 加动名词表示「抱着……的希望」，即「为了让每个人都满意」；pleasing 是 please（使满意）的动名词。<br>（2）she took everyone&#x27;s advice：took 是 take 的过去式，take someone&#x27;s advice 是固定搭配「听从某人的建议」；everyone&#x27;s 是所有格「每个人的」。<br>（3）like the old man and his donkey in the fable：介词短语作比较状语，意为「就像这则寓言里那个老人和他的驴一样」；old man 老人，donkey 驴。<br>（4）suited nobody：suited 是 suit（使……满意）的过去式，nobody 没人；suited nobody 即「谁也没讨到好」。<br><br><b>2. 整句解读：</b>全句按「动机—做法—结果」三步推进：因为想讨好所有人，所以谁的劝都听，结果像寓言里的老人一样谁也没讨好。译文在最后补出「结果」二字，把原句层层递进的讽刺意味挑明：越想八面玲珑，越是两面不讨好，语气带着无奈的自嘲。<br><br><b>3. 文化点：</b>这里化用的是《伊索寓言》里为人熟知的《老人、男孩与驴》：老人为了躲开路人的闲话，让男孩骑驴、自己骑驴、两人同骑，最后干脆把驴抬起来走，结果一路被所有人指点，谁都不满意。西方人常用这则寓言自嘲「讨好所有人等于谁都得罪」；此句出自《小妇人》，是作者借寓言对人物处境的妙评。	山路上，老人和小孩两人扛着一头驴，路两边的路人全在摇头叹气。
heel [sound:w_heel_9ab5da88.mp3]	hi:l	noun	n. 脚后跟,袜跟	B2	They were early, and while Miss Crocker set the <b class="hl">heel</b> of her stocking, Jo <b class="hard">amused</b> herself by examining the faces of the people who occupied the seat with them. [sound:s_ch27_heel_4f3ec87e.mp3]	她们到得早,克罗克小姐织着袜跟,乔便打量起同座人们的脸来解闷。	little_women Ch27	<b>1. 逐项解析：</b><br>（1）They were early：they（她们）+ were early（到得早），early 在此作形容词「早到的」。<br>（2）while Miss Crocker set the heel of her stocking：while 引导时间状语从句，表「与此同时」；set 是编织术语，指「织到（袜子的某一段）」；the heel of her stocking 是「她袜子的袜跟」。整句即「克罗克小姐在织袜跟」。<br>（3）Jo amused herself：amused（超纲词）是 amuse 的过去式，amuse oneself 是固定搭配「自娱自乐、自己找乐子」，译文里的「解闷」指的就是它。<br>（4）by examining the faces of the people：by 加动名词表示方式；examining（端详、打量）；the faces of the people 人们的脸。<br>（5）who occupied the seat with them：who 引导定语从句修饰 the people；occupied the seat 是「占着这排座位」，with them 是「跟她们在一起」，即「同她们坐一排的人」。<br><br><b>2. 整句解读：</b>一句话里并置了两个同时发生的动作：克罗克小姐低头织她的袜跟，乔则无聊地逐个打量同座人的脸来解闷。while 把一静一动揉在一起，瞬间就有了画面：旁边有人安静做针线，这边有人东张西望。中文把 while 处理成并列、把 amuse herself 译成「解闷」，恰好抓住全句「等得发慌」的基调，语气轻松、略带少女的俏皮。<br><br><b>3. 文化点：</b>19 世纪新英格兰的女士随身带着毛线活是常见习惯，针线是社交空隙与公众场合的消遣；而 set the heel 是编织界的行话，说明克罗克小姐是位织袜老手。此句出自《小妇人》，写姑娘们在公共场合等候时的细碎日常，仅凭针线和小动作就勾出了人物的性子。	细细的织针在袜跟处哒哒地走线，旁边的乔却滴溜溜地打量起每一张脸。
stab [sound:w_stab_9a8b470c.mp3]	stæb	verb	n. 刺痛；戳（a stab of）　v. 刺，戳	C1	A <b class="hl">stab</b> of jealousy shot through her heart. [sound:s_ch27_stab_d38a9ba3.mp3]	一阵嫉妒的刺痛穿过了她的心。	little_women Ch27(AI 补句)	<b>1. 逐项解析：</b><br>（1）A stab of jealousy：a stab of 加情绪名词是固定搭配，活用 stab（刺、戳）的名词义，字面是「一刺的嫉妒」，译作「一阵嫉妒」最传神。<br>（2）shot through her heart：shot 是 shoot（飞快射出、放射般穿过）的过去式；through 穿、贯；her heart 她的心。整个短语是「穿过了她的心」。<br>（3）全句骨架：主语（a stab of jealousy）+ 谓语（shot）+ 方向状语（through her heart），是一句极简的比喻式动态句。<br><br><b>2. 整句解读：</b>抽象的情绪被具象成一把「刺」，再用「射穿」这个瞬时动作把它的突袭感演出来：前面「一阵」提示短暂，后面「穿过」提示突然而锋利，读者几乎能感到胸口一紧。a stab of pain / jealousy / guilt / fear 都是英语描写突发情绪时的固定套路，中文抓住意象译成「一阵……的刺痛」即可。短句、快节奏，正像心电图上一记尖峰。<br><br><b>3. 文化点：</b>英语文学习惯把情绪「身体化」，用利器（stab、prick、pang）写强烈感受，这与中文「心如刀绞」相通；若是嫉妒，还常带「绿眼」（green-eyed）一说，典出莎士比亚所谓的 green-eyed monster（绿眼嫉妒魔）。	心口被一枚透明细针叮地扎了一下，针尖上还亮着一星绿色的妒火。
agitate [sound:w_agitate_d67763fd.mp3]	'ædʒiteit	—	v. 使焦躁不安；搅动	C1	The news <b class="hl">agitated</b> her more than she would admit. [sound:s_ch27_agitate_7e190b15.mp3]	这个消息让她心烦意乱，比她自己承认的更甚。	little_women Ch27(AI 补句)	<b>1. 逐项解析:</b><br>・ The news:主语,「那条消息」。news 是不可数名词,形式上是单数,谓语也随之用第三人称单数 agitated。<br>・ agitated her:谓语 + 宾语。agitate 作及物动词,意为「使焦躁不安;搅动(心绪)」,agitated 是过去式;her 指代句中的女性角色。<br>・ more than she would admit:比较状语从句,more than 引出比较,意思是「比她愿意承认的程度更甚」;would admit 中 would 表示意愿或委婉,「愿意承认、肯承认」。<br>・ 词义脉络:agitate 本义是「(在液体里)搅动、摇动」,引申为「搅动情绪」,把水面的涟漪联想嫁接到心绪尤其好记。<br><br><br><b>2. 整句解读:</b>整句的核心是「那条消息把她的心搅得很乱」,后面的 more than she would admit 用对比衬托程度之深——她实际上的焦躁比表面流露出来的更厉害。句子的语气是叙述者旁观的客观口吻,would admit 还带出一点「她自己不愿承认」的潜台词,中文译成「比她自己承认的更甚」,准确抓住了这层比较和拧巴感。<br><br><br><b>3. 文化点:</b>此句出自19世纪美国小说《小妇人》。在当时的时代背景下,女性角色表达情绪偏含蓄,内心波澜往往要靠旁白点明,agitate 正是刻画这类「外表平静、内心翻涌」的常用词。	想象一杯清水被她搅动,涟漪一圈圈荡开——她的心就像那杯水,久久不能平静。
perplex [sound:w_perplex_1a3addca.mp3]	pә'pleks	—	v. 使困惑，使费解（perplexed 困惑的）	C1	&quot;This man says, &#x27;An exquisite book, full of truth, beauty, and <b class="hard">earnestness</b>.&#x27; &#x27;All is sweet, pure, and healthy.&#x27;&quot; continued the <b class="hl">perplexed</b> authoress. [sound:s_ch27_perplex_26a54ff8.mp3]	“这位先生说：‘一本精致的书，充满真理、美好与诚挚。’‘一切甜美、纯洁而有益健康。’”	little_women Ch27	<b>1. 逐项解析:</b><br>・ the perplexed authoress:主语中心。perplexed 是过去分词转成的形容词,「困惑的、不知所措的」;authoress 意为「女作家」,-ess 是阴性后缀,19世纪常用,现代英语多用 author。<br>・ continued:谓语,「接着说道」。此处 continue 接直接引语,是小说里常见的「引语标记语」,放在引语之后,相当于「她继续说」。<br>・ This man says:转述那个男士的评价,「这位先生说」。<br>・ 「An exquisite book, full of truth, beauty, and earnestness.」:exquisite 意为「精致的、精美的」;full of truth, beauty, and earnestness 是插入语,作 book 的后置定语;earnestness 是超纲词,为 earnest(诚挚的)的名词形式,「诚挚、认真」。<br>・ 「All is sweet, pure, and healthy.」:三个形容词并列——甜美、纯洁、健康,是对书内容的溢美之词。<br>・ 结构提示:两个引语都是别人对她作品的称赞,而她的反应却是 perplexed,这种「被夸反而困惑」的反差正是句子的趣味点。<br><br><br><b>2. 整句解读:</b>整句是「转述书评 + 旁白反应」的组合。女作家在念一段关于她书的评价:那位先生说这本书「精致、充满真理、美好与诚挚」,又说「一切都甜美、纯洁而健康」。perplexed 一词点破她的真实心情——这些好得离谱的赞美让她摸不着头脑。句子采用倒装语序:直接引语在前,continued the perplexed authoress 在后,这是英语叙事惯用的「语录后置」写法;中文则按习惯语序译为「……接着说道」。<br><br><br><b>3. 文化点:</b>《小妇人》中的乔·马奇正是这位「困惑的女作家」。这一段再现了19世纪文学圈对通俗小说的评价格调,以及女作家面对外界评论时的微妙心态;authoress 作为当时「女作家」的称呼,也带有鲜明的时代印记。	想象她皱眉盯着书评,每一条赞美都像谜语——字字都认得,合起来却让她费解。
accordingly [sound:w_accordingly_e5fc8009.mp3]	ә'kɒ:diŋli	adverb	adv. 相应地；因此	C1	She gave her orders and acted <b class="hl">accordingly</b>. [sound:s_ch27_accordingly_10845e02.mp3]	她下达了指令，并照此办理。	little_women Ch27(AI 补句)	<b>1. 逐项解析:</b><br>・ She:主语。<br>・ gave her orders:谓语部分,gave 是 give 的过去式,「下达命令、吩咐」;orders 在此是名词复数,意为「指令、吩咐」。<br>・ acted accordingly:并列谓语,acted 是 act(行事、行动)的过去式;accordingly 是方式副词,由 according + -ly 构成,意为「照着前面所言去做、相应地」。<br>・ 功能提示:accordingly 起回指衔接作用,它不说自己所指的内容,而是把读者引回上文的「指令」或已知情势,强调行动与指令一致。<br><br><br><b>2. 整句解读:</b>句子讲两件连着的动作:「她下达了指令,照此办理」,accordingly 像一根线把「吩咐」和「执行」缝在一起,突出言行一致、照着办。语气是平淡客观的陈述,没有任何修饰色彩,就事论事。中文译为「照此办理」,恰好点出「按上文所述去执行」这层含义。	想象她像照着菜谱下厨一样,写一条做一条——吩咐与动作严丝合缝,一步不差。
