单词	音标	词性	中文释义	CEFR	原文例句	例句译文	来源	AI解析	词义概述
indulge [sound:w_indulge_e99082ad.mp3]	in'dʌldʒ	verb	v. 纵容；沉溺（indulge in 尽情享受）	C1	She <b class="hl">indulged</b> herself in a long, lazy morning in bed. [sound:s_ch25_indulge_ebbd32fa.mp3]	她放纵自己睡了个又长又慵懒的懒觉。	little_women Ch25(AI 补句)	1. 逐项解析:<br>1. She:主语,指代一位女性。<br>2. indulged:谓语动词,indulge 的过去式。此处用作及物动词,后接反身代词 herself,构成固定搭配 indulge oneself in…,意为「让自己纵情于……、纵容自己享受……」。<br>3. herself:反身代词,作宾语,强调动作施加于自身,翻译为「她自己」。<br>4. in a long, lazy morning:介词短语,与上面的 in 搭配构成 indulge herself in,其中 a long, lazy morning 是名词短语,long 与 lazy 两个形容词连用,营造出一种漫长、慵懒、无所事事的氛围。<br>5. in bed:介词短语进一步限定地点——在床上。<br>整句主干为「主语 + 谓语 + 反身代词 + in + 名词短语」,结构非常工整。<br><br>2. 整句解读:全句用一般过去时叙述她做过的一件事:她放任自己在床上度过一个又长又慵懒的早晨。indulge oneself in 带有「平时克制、这次破例放纵一下」的潜台词,语气休闲、略带宠溺,而不是严厉的批评。译文把「在床上的一个早晨」意译成「睡了个……懒觉」,将静态的场景动词化,读起来更口语、更有画面感,也更贴合中文的表达习惯。<br><br>3. 文化点:此语境略。	周末早晨赖在被窝里不起来,太阳晒到屁股还翻个身接着睡——那就是 indulge oneself in a lazy morning。
bridegroom [sound:w_bridegroom_6d989fcb.mp3]	'braidgrum	—	n. 新郎	C1	The <b class="hl">bridegroom</b>&#x27;s hand trembled <b class="hard">visibly</b>, and no one heard his replies. [sound:s_ch25_bridegroom_6dbb06d0.mp3]	新郎的手明显地抖着，谁也没听清他的答话。	little_women Ch25	1. 逐项解析:<br>1. The bridegroom&#x27;s:名词所有格,意为「新郎的」。bridegroom 一词由 bride(新娘)与 groom 构成,groom 古义为「马夫、随从」,历史上指在婚礼上替新郎照看马匹的人,后来词义缩小固定在「新郎」上。<br>2. hand:普通名词,「手」,作句子的主语。<br>3. trembled:谓语动词 tremble 的过去式,「颤抖、发抖」。<br>4. visibly:副词,修饰 trembled,「明显地、肉眼可见地」,说明颤抖的程度大得让在场所有人都能看出来。这个词(CEFR 难度更高)是本句的超纲词,但恰好是渲染紧张的关键。<br>5. and no one heard his replies:由 and 连接的并列分句。no one 主语(没人),heard 谓语,his replies 宾语(他回答的话),replies 是 reply 的复数形式。<br><br>2. 整句解读:这是一幅婚礼现场的特写:新郎的手抖得非常明显,任何人一眼就能看出他的紧张;至于他回答了些什么,在场的人谁也没听清。前半句写视觉(看得见的颤抖),后半句写听觉(听不见的回答),从两个感官角度交叠,把新郎的紧张情绪放大到整个场面,也带出一丝幽默与亲切感。译文用「明显地抖着」对应 visibly,用「谁也没听清」对应 no one heard,读起来非常顺口。<br><br>3. 文化点:《小妇人》等 19 世纪小说里,婚礼是隆重又拘谨的社交场合,新郎在众目睽睽之下紧张失态,是极有人情味的小细节,作者借此冲淡仪式的严肃感,让读者会心一笑。	教堂里新郎的手像筛糠一样抖个不停,连订婚戒指都快捏不稳,人人都看在眼里。
paternal [sound:w_paternal_fb6e62c1.mp3]	pә'tә:nl	—	a. 父亲般的；父亲的，父系的	C1	He gave Beth a <b class="hl">paternal</b> pat on the shoulder. [sound:s_ch25_paternal_c86b2ea7.mp3]	他像父亲一样拍了拍贝丝的肩膀。	little_women Ch25(AI 补句)	1. 逐项解析:<br>1. He:主语。<br>2. gave:谓语动词 give 的过去式。give + 宾语 + on the shoulder 构成常用搭配 give sb a pat on the shoulder,意为「拍拍某人的肩膀」。<br>3. Beth:间接宾语,人名,贝丝,《小妇人》中的四姐妹之一。<br>4. a paternal pat:直接宾语。pat 在此作名词,「轻拍、抚拍」;paternal 是形容词,「父亲般的、慈父一样的」,修饰 pat,给这个拍肩的动作贴上温情标签——像父亲拍孩子那样,带着长辈的慈爱与鼓励。<br>5. on the shoulder:介词短语,说明拍的位置。<br><br>2. 整句解读:全句只写一个动作:他像一位父亲那样,在贝丝的肩膀上轻轻拍了拍。paternal 一词是关键,它把一记普通的拍肩升华为「父辈之爱」的表达——不是客套的肢体接触,而是传递关怀与安慰的无声语言。中文译文将形容词 paternal 处理成比较短语「像父亲一样」,把那份慈爱的意味直接摊开,更符合中文的表达习惯。<br><br>3. 文化点:19 世纪小说里,男性长辈对少女表达感情通常含蓄克制,一句安慰可能都难以说出口,因而一个拍肩的动作往往承载着千言万语,是那个时代最典型的亲情注脚。	父亲宽厚的手掌落在孩子肩上,稳稳的、暖暖的,轻轻一拍就知道「有我在」。
smash [sound:w_smash_31fe827a.mp3]	smæʃ	verb	v. 打碎，猛撞　n. 哗啦声；大成功（a smash hit）	C1	The plate fell and <b class="hl">smashed</b> to pieces on the floor. [sound:s_ch25_smash_9ff808f7.mp3]	盘子掉在地上，摔得粉碎。	little_women Ch25(AI 补句)	1. 逐项解析:<br>1. The plate:主语,「那个盘子」。<br>2. fell:谓语动词 fall 的过去式,「掉落、坠落」。<br>3. and smashed:并列谓语,smashed 是 smash 的过去式,「摔碎、打碎」。fell 与 smashed 两个动作先后相承,先掉落、再摔碎,画面是连续发生的。<br>4. to pieces:固定搭配,「成碎片、碎作数片」,与 smash 组合成 smash to pieces,强调结果是粉身碎骨的碎片,而不是轻描淡写的「破了」。<br>5. on the floor:地点状语,「在地板上」。<br><br>2. 整句解读:全句画面感极强,像一个慢镜头:盘子从高处掉落,啪的一声砸在地板上,摔得四分五裂。fell 与 smashed 的连用交代了完整的物理过程,to pieces 则把破坏的程度钉死在「碎裂成片」上,声音与画面同时浮现。中文译文用「摔得粉碎」对应 smash to pieces,「粉碎」二字精准还原了碎片飞溅的视觉效果。<br><br>3. 文化点:此语境略。	盘子从桌沿滑落,啪的一声在地砖上炸成一片白瓷碎花,碎片飞得到处都是。
luncheon [sound:w_luncheon_1a1f514f.mp3]	'lʌntʃәn	—	n. 午宴，午餐（正式）	C1	&quot;You oughtn&#x27;t to be seen till the last minute, child.&quot; &quot;I&#x27;m not a show, Aunty, and no one is coming to stare at me, to criticize my dress, or count the cost of my <b class="hl">luncheon</b>. [sound:s_ch25_luncheon_c22f5dc3.mp3]	“你得到最后一刻才能露面，孩子。”“我又不是展览品，姨妈，没人会来盯着看……”	little_women Ch25	1. 逐项解析:<br>1. You oughtn&#x27;t to be seen till the last minute, child.:oughtn&#x27;t 是 ought not to 的缩略,「不应该」;be seen 为被动语态,「被看见」;till the last minute「直到最后一刻」;child 是称呼语,长辈对孩子说话的口吻,是姨妈在提醒她。<br>2. I&#x27;m not a show, Aunty:show 作名词,「展品、供人观看的东西」;Aunty 是称呼语「姨妈」。这是孩子在顶嘴:我又不是展览品。<br>3. and no one is coming to stare at me:no one「没有任何人」,is coming 用现在进行时表示即将发生的动作,to stare at me 是不定式表目的,「盯着我看」。<br>4. to criticize my dress:不定式与前文并列,「批评我的裙子」。<br>5. or count the cost of my luncheon:count 作动词,「数、计较」;the cost of my luncheon「我这顿午餐的开销」。luncheon 是 lunch 的正式变体,指「午宴、正式午餐」。<br><br>2. 整句解读:这是一段俏皮的对话。姨妈叮嘱:不到最后一刻你不该露面,免得提前被客人看见。孩子伶牙俐齿地反驳:我又不是一件展品,姨妈,没有人会专程来看我、挑我裙子的毛病,或者计较我这顿午餐花了多少钱。show 的比喻义「展览品」用得极为生动,把少女略带自尊又不服气的小情绪刻画得活灵活现。译文将后半句留白为「……去评论……」的语感,保留了她话头一转的俏皮。<br><br>3. 文化点:luncheon 比 lunch 正式,是 19 世纪中上层社交圈的说法,常出现在正式宴请的语境里。女孩故意用这个正式的词说自己的午餐,带着几分揶揄的自嘲:把自己说得像在出席一场被人品头论足的午宴,其实是反讽——我根本没人关注。	白瓷盘、白餐巾叠成尖角、刀叉摆得整整齐齐的正式午宴——luncheon 总比平日的 lunch 多一分讲究。
dew [sound:w_dew_72d628f9.mp3]	dju:	—	n. 露水，露珠	C1	The grass was wet with morning <b class="hl">dew</b> as she went out. [sound:s_ch25_dew_6581fcc7.mp3]	她出门时，草上挂满晨露。	little_women Ch25(AI 补句)	1. 逐项解析:<br>1. The grass:主语,「草、草地」。<br>2. was wet:系表结构,was 是系动词,wet 是表语,「湿的」。<br>3. with morning dew:with 在此表示原因或伴随状态,「被……弄湿、因……而湿」;morning dew「清晨的露水」。be wet with… 是常见搭配,意为「被……沾湿」。<br>4. as she went out:as 引导时间状语从句,「当……的时候」,she went out「她出门的时分」。<br><br>2. 整句解读:全句交代了一个清晨的场景:她出门时,草叶上挂着晨露,湿漉漉的。was wet 用 with 引出湿润的缘由,写法比 because of 更轻盈、更具文学性;morning dew 自带清冷通透的画面,暗示时间尚早、空气清新、人物正要出发。译文把静态的「was wet」处理成动态的「挂满晨露」,让露珠仿佛即时要滚落下来,画面立刻活了起来。<br><br>3. 文化点:晨露是欧美田园文学中经典的开篇意象,常用来标记清晨时分、预示新的一天或一段旅程的开始,也象征着未经打扰的清新与生机。	清晨推开门,草尖上悬着一颗颗透明的露珠,一抬脚踏出去,凉丝丝的水珠滚进鞋里。
bachelor [sound:w_bachelor_b146b712.mp3]	'bætʃәlә	—	n. 单身汉；学士（学位）	C1	Mr. Laurence lived alone, a comfortable old <b class="hl">bachelor</b>. [sound:s_ch25_bachelor_d0a5cfe0.mp3]	劳伦斯先生独自生活，是个日子过得舒舒服服的老单身汉。	little_women Ch25(AI 补句)	1. Mr. Laurence（劳伦斯先生）＋lived alone（独自生活）：lived 是过去时；alone 在此作表语副词，表示「独自、一个住」，强调没有家人陪伴。<br>2. a comfortable old bachelor（一个安逸的老单身汉）：这是前面的逗号后补充的「同位语」，用来说明 Mr. Laurence 的身份——就是一个单身汉，起到了给画面补一句的人物介绍作用，翻译成「是个……的老单身汉」正好对应这种补充语气。<br>3. comfortable（安逸的、舒舒服服的）修饰 bachelor：指生活上无拘无束、不必操心，暗示此人日子过得很自在；old 在此不一定是「衰老」，更多是「上了年纪、资深」的口吻，带一点亲切感。<br>4. 词形：本词是 bachelor 的原形用法，注意它与「学士学位」的关联——同形词义来自同源，读小说时优先取「单身汉」义。<br><br>整句解读：这句话在小说里是给劳伦斯先生补一笔身世素描：他一个人住，身边没有妻儿，是个日子过得舒舒服服的老单身汉。作者用逗号把「a comfortable old bachelor」轻轻甩在句尾，语气很松弛，像随口补一句家常话；中文译成「日子过得舒舒服服的老单身汉」，正是把 comfortable 的「安逸感」化开，读起来比「安逸的老单身汉」更有人情味、更口语化。<br><br>文化点：19 世纪小说里「old bachelor」是常见典型人物，通常意味着独立、有轻微怪癖、被邻居好奇打量但又受人尊重；他不是「悲惨的光棍」，而是自己的生活过得挺滋润，这是当时读者一看就懂的社会符号。	想象一间满满当当的老书房：壁炉边一张旧摇椅、一条打盹的老狗——屋里只有一个人住，却处处是热气腾腾的生活痕迹，这就是「bachelor」的安逸单身生活。
lengthen [sound:w_lengthen_d549f278.mp3]	'leŋθәn	—	v. 变长，加长	C1	The curly crop has <b class="hl">lengthened</b> into a thick coil, more becoming to the small head atop of the tall figure. [sound:s_ch25_lengthen_66019ceb.mp3]	那剪短的卷发已经长成浓密的一盘，衬着高挑身材上那颗小小的头，愈发相宜。	little_women Ch25	1. The curly crop（那剪短的卷发）：crop 在此不是「庄稼」，而是「剪短后的短发」这一古老用法，常指女子短而卷的发型，所以译文点出「剪短的卷发」。<br>2. has lengthened into（已经长成了）：现在完成时，表示从过去一直持续到现在的变化已达成；lengthen 是「加长、变长」，由名词 length（长度）加动词后缀 -en 构成——-en 是典型的「使变成」后缀，lengthen＝使长度增加、变长。<br>3. a thick coil（浓密的一盘）：coil 本义「卷、盘成一圈」，这里指盘起来的一圈厚厚发髻，画面感是头发绕成一盘。<br>4. more becoming to（对……更相宜）：becoming 是形容词「合适的、好看的」，more becoming to 表示「比起从前，这样子更衬、更漂亮」。<br>5. the small head atop of the tall figure：atop of＝at the top of，是较为书面的「在……之上」；a tall figure 指高挑的身材，整块意思是「高挑身材上那颗小小的头」，用了 head、figure 两个更书面化的词来描写人物轮廓。<br><br>整句解读：这句写女孩头发的变化：原本剪短的卷发如今已长成厚厚的一盘，盘在头上，衬着高挑身材上那张小小的脑袋，反倒比以前更相称更好看。句子主体是「头发长成了发髻」这一结果，后面 more becoming 的部分是作者的品评：这个新发型配这个身材更合适了。中文把 more becoming to 译成「愈发相宜」，是文言化、含蓄的说法，正合原文那种带有欣赏口吻的客观描写。<br><br>文化点：19 世纪西方女性留长发的时代背景——发长及腰、平时盘成发髻是体面女子的标志，所以「短发渐渐留长、终于能盘成发髻」才是一件值得欣喜、也意味着渐渐长大的事。	想象一根原本齐耳短短的小卷发，一天天长起来，终于能绕成一圈厚实的发髻——像看见一根藤蔓慢慢爬满花架，这就是 lengthen。
improper [sound:w_improper_068c098a.mp3]	im'prɒpә	—	a. 不合适的，不合礼仪的，不正经的	C1	John, dear, here&#x27;s your hammer.&quot; And away went Meg to help &#x27;that man&#x27; in his highly <b class="hl">improper</b> employment. [sound:s_ch25_improper_c97db5ba.mp3]	“约翰，亲爱的，你的锤子在这儿。”梅格说着，跑去帮“那个男人”干他那件十分不成体统的活儿。	little_women Ch25	1. John, dear, here&#x27;s your hammer.（「约翰，亲爱的，你的锤子在这儿。」）：John, dear 是亲昵的直呼，here&#x27;s your hammer 是「你的锤子在这儿」，here&#x27;s＝here is 的口语缩略，喊人递东西的口吻。<br>2. And away went Meg（于是梅格跑开了）：away 放在句首时句子倒装，正常语序是 Meg went away，倒装是为了让动作更轻快、更带画面感，像镜头跟着人「嗖」地跑走。<br>3. to help &#x27;that man&#x27;（去帮「那个男人」）：help 后接 sb.「帮助某人」；&#x27;that man&#x27; 加了引号，是梅格提起自己丈夫时的戏谑昵称，故意说得很生分、很好笑。<br>4. in his highly improper employment：improper 是「不合适的、不合礼仪的」，highly 加强语气＝「十分、极其」；employment 在此不是「就业」，而是「（手头）干的活儿、正忙着的事」。整体即「在他那份十分不成体统的活儿上帮把手」。<br><br>整句解读：妻子喊话递上锤子、然后跑过去帮丈夫——这一幕里，「借锤子去帮丈夫干活」本身在当时被说成「highly improper employment」（十分不成体统的活儿），是带着自嘲和俏皮的反话。句子从头到尾都是轻快活泼的调子：away went Meg 的倒装像小跑，&#x27;that man&#x27; 的引号像挤眉弄眼的玩笑；中文译「跑去帮『那个男人』干他那件十分不成体统的活儿」，把这份娇嗔语气还原了出来。<br><br>文化点：19 世纪中产阶级对「女士该做什么」有一套严格预期——缝纫、刺绣、打理家务才算得体，钉东西、做木工这类「男人的活儿」被视为女士碰不得的；所以一位新婚妻子跑去帮丈夫钉东西，才会被调侃成「不成体统」，这是当时社会观念下的幽默梗。	想象一位穿着长裙、系着围裙的太太，拎着一把铁锤快步跑向丈夫，一边笑着说这活儿「实在不成体统」——锤子与裙摆的反差，就是 improper 的画面。
avail [sound:w_avail_255e5614.mp3]	ә'veil	—	v. 有用，有益（of no avail 无济于事）　n. 效用	C1	All her <b class="hard">coaxing</b> was of no <b class="hl">avail</b> against his silence. [sound:s_ch25_avail_14d994ad.mp3]	她怎么哄都无济于事，他就是一声不吭。	little_women Ch25(AI 补句)	1. All her coaxing（她所有的哄劝）：coaxing 是动词 coax（哄、劝诱）的动名词形式，作主语，指「她左哄右哄的所有举动」；all 强调「用尽了全部办法」。<br>2. was of no avail（无济于事）：这是本词的核心搭配 be of no avail。be of＋抽象名词，用来说明「具有某种性质」，of no avail＝毫无用处的、不起作用的，是较为正式、书面化的说法；因此整个结构＝「她的哄劝全都不管用」。<br>3. against his silence（对抗他的沉默）：against 表示「对着、顶着、反着来」，silence（沉默）被他当作一道墙；of no avail against 合起来就是「在他沉默这一硬壁面前，一切哄劝都白费了」。<br><br>整句解读：这句话讲的是哄不动的局面：她把能哄的都哄遍了，可对方只管沉默，一个字也不应，一切努力都像打在棉花上。of no avail 这种正式的表达给句子添了一点沉重的书面感，配合 his silence（他的沉默）这种冷冰冰的抽象词，让「哄无效」这个意思显得很有分量；中文以「无济于事」四字对应 of no avail，再补「他就是一声不吭」把沉默具体化，两组对照把「热脸贴冷板」的尴尬感讲得很透。	想象自己举着满满一碗汤圆去哄一个背过身去的人，那人始终不回头——你拼命递出去的每一句软话，都被那堵沉默的墙原样弹回来：这就是 of no avail。
seize [sound:w_seize_44b55eac.mp3]	si:z	verb	v. 抓住；突然袭来（be seized with 突然产生）	B2	Meg and John happened to be standing together in the middle of the grass plot, when Laurie was <b class="hl">seized</b> with an <b class="hard">inspiration</b> which put the finishing touch to this <b class="hard">unfashionable</b> wedding. [sound:s_ch25_seize_ac04cfc7.mp3]	梅格和约翰碰巧并肩站在草地上，这时劳里忽然灵机一动，来了个……	little_women Ch25	1. Meg and John happened to be standing together（梅格与约翰碰巧并肩站着）：happen to do 表示「碰巧、恰好在做某事」；be standing together 是进行时，强调那个瞬间他们正站在一起。<br>2. in the middle of the grass plot（在草地中央）：grass plot 指一片草坪、草地，middle 是「正中间」。<br>3. when Laurie was seized with an inspiration（这时劳里忽然灵机一动）：when 在此表「正在那时、忽然」；be seized with 是考试重点搭配，seize 本义「抓住」，be seized with 字面是「被……攫住」，引申为「突然产生、突然被某种念头袭来」——人被灵感攫住，而非人去抓灵感。<br>4. which put the finishing touch to this unfashionable wedding：which 引导定语从句修饰 inspiration；put the finishing touch to 意为「给……画上最后点睛的一笔、画龙点睛」；unfashionable（不时髦的、朴素的）修饰 wedding，指这场不图排场、简朴随意的婚礼。<br><br>整句解读：这一句截取婚礼进行中的一个瞬间：新人在草地中央碰巧面对面站着，正巧劳里灵感突发，给这场本不讲究排场的婚礼添上最后点睛的一笔。整句的空间感很强——先是镜头落在草地中央的两人，再用 when 突然切入劳里的灵机一动，最后用定语从句把「点睛之笔」落到婚礼上；中文把 be seized with an inspiration 译成「忽然灵机一动」，把「被灵感攫住」的被动感化成了顺口的大白话，更为轻快。<br><br>文化点：19 世纪婚礼讲究体面排场、宾客纷至，而这场婚礼办得极其素净、不合时尚；「unfashionable wedding」正是想强调新人的简朴家境与随性态度，而临时补上的一笔小创意让这场朴素的婚礼有了暖意，是小说里常见的生活化幽默时刻。	想象灵感像一只突然扑上来的猫，毫无预兆地跳进脑中、死死抓牢不放——不是你在想点子，是点子一下子攫住了你，这就是 be seized with。
nest [sound:w_nest_10eff628.mp3]	nest	noun	n. 巢,窝;安乐窝	B2	Meg made her new <b class="hl">nest</b> as pretty as she could. [sound:s_ch25_nest_c667360c.mp3]	梅格把自己的小安乐窝布置得尽善尽美。	little_women Ch25(AI 补句)	1. Meg made her new nest（梅格布置她的新窝）：made 在此不是「制造、做出来」，而是「把……布置、收拾成」；her new nest 指她的新家——婚后两人共同生活的居所。<br>2. as pretty as she could（尽可能弄得漂漂亮亮）：这是 as…as 同级比较结构，等于 as pretty as she could（make it），句末省略了 make it，意思是「尽其所能地漂亮」；pretty 形容「好看、惹人喜欢」，可指布置上的赏心悦目。<br>3. 词义：nest 本义是鸟巢，这里的用法是典型的比喻义——把「家」比作巢、安乐窝，突出其温馨、私密、由自己亲手营造的感觉。<br><br>整句解读：这句话的妙处在把「安家」说成「做窝」：梅格把她和新婚丈夫的小家收拾得尽可能漂亮。巢是小鸟衔草搭建、住得安心温暖的地方，用 nest 一下子就带出了「亲手布置、一针一线都用心」的暖意，也不必赘述她买了什么、摆了什么；译文「把自己的小安乐窝布置得尽善尽美」，把 nest 译成「小安乐窝」，加一个「小」字，那份新婚幸福、麻雀虽小五脏俱全的味道就出来了。<br><br>文化点：在西方文学传统里，鸟巢作「家」的比喻古已有之，「building a nest」常被用来形容新婚夫妻布置新房、准备度蜜月的阶段；19 世纪小说里，妻子打理新居往往象征着新生活的开始，也呼应当时「家是女人的领地」这一观念。	想象一只小鸟衔来软草、羽毛和一小段细枝，绕着新搭的窝转来转去，每一样都摆到最顺眼的位置——把家装点成自己的安乐窝，这就是 nest。
